rank,ko,en,type1,type2,HP,Atk,Def,SpA,SpD,Spe,BST,abilities,mega,mega_stone,stone_rate_pct,ladder_count_149,opp_weight,model_off,model_dur,model_total,dur_share,recovery_q,atk_move_slots,setup_move,setup_pct,setup_mul,top_item,top_item_pct,item_class
1,보만다,salamence,드래곤,비행,95,135,80,110,80,100,600,위협|자기과신,메가보만다,보만다나이트,97.7,16,1.86023,0.212,0.018,0.154,0.03,0.701,2.44,용의춤,78.2,1.5,구애스카프,0.8,2
2,한카리아스,garchomp,드래곤,땅,108,130,95,80,85,102,600,까칠한피부|모래숨기,메가한카리아스Z,한카리아스나이트Z,35.7,63,7.32466,0.302,-0.145,0.168,0,0.000,3.47,,,,구애스카프,19.1,2
3,누리레느,primarina,물,페어리,80,74,74,126,116,60,530,급류|촉촉보이스,,,,40,4.65058,-0.116,-0.038,-0.093,0,0.048,2.97,명상,35.7,1.5,자뭉열매,40.6,4
4,갑주무사,golisopod,벌레,물,75,125,140,60,90,40,530,위기회피,메가갑주무사,갑주무사나이트,98.8,12,1.39517,-0.152,0.078,-0.083,0,0.100,3.71,칼춤,18.9,2,생명의구슬,0.5,1
5,하마돈,hippowdon,땅,,108,112,118,68,72,47,525,모래날림|모래의힘,,,,21,2.44155,-0.223,0.007,-0.154,0,0.367,1.02,,,,자뭉열매,69.3,4
6,루카리오,lucario,격투,강철,70,110,70,115,70,90,525,정신력|불굴의마음|정의의마음,메가루카리오,루카리오나이트,99.4,9,1.04638,0.029,-0.281,-0.064,0,0.000,3.11,나쁜음모,84.1,2,기합의띠,0.3,3
7,드닐레이브,baxcalibur,드래곤,얼음,115,145,92,75,86,87,600,열교환|아이스바디,메가드닐레이브,드닐레이브나이트,50.1,4,0.46506,0.208,-0.119,0.11,0,0.000,3.31,칼춤,35.5,2,기합의띠,26.9,3
8,브리두라스,archaludon,강철,드래곤,90,105,130,125,65,85,600,지구력|옹골참|굳건한신념,,,,31,3.60420,0.262,-0.017,0.178,0,0.000,3.08,,,,자뭉열매,30.4,4
9,타부자고,gholdengo,강철,고스트,87,60,95,133,91,84,550,황금몸,,,,22,2.55782,0.191,0.057,0.15,0.11,0.690,2.15,나쁜음모,92.3,2,풍선,65.8,9
10,따라큐,mimikyu,고스트,페어리,55,90,80,50,105,96,476,탈둔갑한모습,,,,22,2.55782,-0.088,-0.16,-0.11,0,0.026,2.85,칼춤,83.7,2,생명의구슬,81.5,1
