atk_ko,def_ko,atk_rank,def_rank,ttk_atk_to_def,ttk_def_to_atk,v_base,v_atk_mega,v_def_has_item,v_def_mega,def_assumed_item
보만다,한카리아스,1,2,2.000,2.000,-0.3288,0.2077,-0.3288,-0.3594,구애스카프
보만다,누리레느,1,3,4.000,2.000,-0.3473,0.0298,-0.5192,,자뭉열매
보만다,갑주무사,1,4,3.000,9.000,0.9947,1.0000,0.9762,0.8984,생명의구슬
보만다,하마돈,1,5,3.000,3.000,0.3771,0.2368,0.1240,,자뭉열매
보만다,루카리오,1,6,2.000,3.000,0.3730,0.3730,0.3730,-0.3288,기합의띠
보만다,드닐레이브,1,7,2.000,2.000,0.0374,0.1072,0.0374,0.0374,기합의띠
보만다,브리두라스,1,8,3.000,2.000,-0.1261,-0.1261,-0.1960,,자뭉열매
보만다,타부자고,1,9,3.000,3.000,0.1277,0.1277,-0.1090,,풍선
보만다,따라큐,1,10,4.000,3.000,0.1062,0.4909,-0.0256,,생명의구슬
보만다,고릴타,1,11,2.000,10.000,0.9952,1.0000,1.0000,,생명의구슬
보만다,킬가르도,1,12,3.000,2.000,0.2094,0.2094,-0.0256,,먹다남은음식
보만다,마스카나,1,13,2.000,2.000,-0.4293,-0.1960,-0.4293,,구애스카프
보만다,갸라도스,1,14,3.000,3.000,-0.0256,0.1395,-0.0256,-0.0256,울퉁불퉁멧
보만다,아머까오,1,15,4.000,7.000,0.8956,0.8956,0.8956,,울퉁불퉁멧
보만다,킬라플로르,1,16,2.000,2.000,0.2077,0.4428,0.1379,-0.3594,기합의띠
보만다,대쓰여너,1,17,3.000,3.000,0.2094,0.2094,-0.2573,,구애스카프
보만다,리자몽,1,18,3.000,4.000,0.3554,0.7467,0.1220,0.3212,구애스카프
보만다,포푸니크,1,19,2.000,5.000,0.5775,0.7802,0.5775,,없음
보만다,개굴닌자,1,20,2.000,1.000,-0.5928,-0.4293,-0.5928,-0.8279,기합의띠
보만다,에이스번,1,21,2.000,4.000,0.3102,0.7085,0.3102,,구애스카프
보만다,알로라 나인테일,1,22,3.000,1.000,-0.8279,0.0374,-0.8279,,없음
보만다,에써르(수컷),1,23,2.000,4.000,0.7085,0.7784,0.2419,,구애스카프
보만다,워시로토무,1,24,3.000,4.000,0.5434,0.7768,0.5434,,먹다남은음식
보만다,불카모스,1,25,3.000,6.000,0.7958,0.9771,0.6561,,자뭉열매
보만다,빠르모트,1,26,2.000,3.000,-0.0937,0.3730,-0.0937,,기합의띠
보만다,라우드본,1,27,4.000,5.000,0.5904,0.5904,0.2972,,자뭉열매
보만다,삼삼드래,1,28,2.000,2.000,0.1072,0.1072,-0.3594,,구애스카프
보만다,메타그로스,1,29,3.000,2.000,0.2094,0.2094,-0.0256,-0.2573,생명의구슬
보만다,망나뇽,1,30,2.495,2.000,0.1765,0.1765,0.1765,-0.3447,없음
