ko,move,usage_pct
보만다,이판사판태클,81
보만다,용의춤,78.2
보만다,지진,75.6
보만다,날개쉬기,70.1
보만다,용성군,27.8
보만다,화염방사,17.3
보만다,불대문자,17.2
보만다,하이퍼보이스,16.7
보만다,역린,8.3
보만다,열불내기,7.8
한카리아스,지진,90.1
한카리아스,스텔스록,53.2
한카리아스,용성군,40.1
한카리아스,화염방사,36.5
한카리아스,드래곤테일,35.9
한카리아스,역린,34.6
한카리아스,대지의힘,34.5
한카리아스,암석봉인,26.4
한카리아스,파워젬,25.5
한카리아스,스케일샷,23.2
누리레느,문포스,100
누리레느,물거품아리아,96.4
누리레느,아쿠아제트,70.8
누리레느,앙코르,48.4
누리레느,명상,35.7
누리레느,퀵턴,19.5
누리레느,잠자기,12.1
누리레느,파도타기,5.3
누리레느,냉동빔,5.1
누리레느,미스트필드,4.6
갑주무사,만나자마자,81.4
갑주무사,아이언헤드,80.8
갑주무사,기습,55
갑주무사,유턴,50.1
갑주무사,드릴라이너,32.8
갑주무사,흡혈,28.5
갑주무사,인파이트,22.6
갑주무사,아쿠아제트,20.2
갑주무사,칼춤,18.9
갑주무사,벌크업,9.6
하마돈,지진,98.4
하마돈,하품,96.6
하마돈,스텔스록,94.2
하마돈,날려버리기,63.6
하마돈,게으름피우기,36.7
하마돈,방어,3.4
하마돈,울부짖기,2.8
하마돈,얼음엄니,2.6
하마돈,암석봉인,1.2
하마돈,땅가르기,0.4
루카리오,나쁜음모,84.1
루카리오,파동탄,82.6
루카리오,악의파동,78.8
루카리오,러스터캐논,78.5
루카리오,진공파,34.6
루카리오,철제광선,21.3
루카리오,인파이트,5.9
루카리오,기합구슬,5.1
루카리오,칼춤,4.9
루카리오,코멧펀치,4.2
드닐레이브,지진,91.7
드닐레이브,얼음뭉치,88.4
드닐레이브,대검돌격,77.5
드닐레이브,고드름떨구기,44.2
드닐레이브,칼춤,35.5
드닐레이브,용의춤,33.8
드닐레이브,고드름침,19.1
드닐레이브,번개엄니,4
드닐레이브,아이언헤드,3.1
드닐레이브,스케일샷,2.4
브리두라스,러스터캐논,77.7
브리두라스,용성군,76.2
브리두라스,10만볼트,66.2
브리두라스,스텔스록,62.5
브리두라스,울부짖기,29.4
브리두라스,드래곤테일,25
브리두라스,파동탄,21.3
브리두라스,일렉트로빔,18.7
브리두라스,악의파동,12.6
브리두라스,용의파동,10.4
타부자고,섀도볼,100
타부자고,골드러시,100
타부자고,나쁜음모,92.3
타부자고,HP회복,69
타부자고,10만볼트,3.4
타부자고,트릭,10
타부자고,기합구슬,4.1
타부자고,파워젬,4.1
타부자고,대타출동,3.7
타부자고,러스터캐논,3.3
따라큐,치근거리기,99.6
따라큐,야습,98.1
따라큐,칼춤,83.7
따라큐,섀도클로,66.1
따라큐,저주,17.8
따라큐,우드해머,14
따라큐,드레인펀치,7.4
따라큐,트릭룸,5.6
따라큐,방어,3.9
따라큐,도깨비불,3.8
고릴타,그래스슬라이더,100
고릴타,탁쳐서떨구기,70.1
고릴타,유턴,63.7
고릴타,10만마력,55.6
고릴타,드럼어택,41.6
고릴타,우드해머,28.6
고릴타,도발,11.7
고릴타,씨뿌리기,11.7
고릴타,칼춤,10.4
고릴타,엄청난힘,5.5
킬가르도,야습,97.9
킬가르도,킹실드,81.3
킬가르도,폴터가이스트,53.3
킬가르도,섀도볼,45.5
킬가르도,성스러운칼,37.1
킬가르도,칼춤,28.1
킬가르도,러스터캐논,21.5
킬가르도,인파이트,15.9
