atk_ko,move,def_ko,turns_to_ko
보만다,이판사판태클,한카리아스,4
보만다,이판사판태클,누리레느,4
보만다,이판사판태클,갑주무사,4
보만다,이판사판태클,하마돈,7
보만다,이판사판태클,루카리오,6
보만다,이판사판태클,드닐레이브,5
보만다,이판사판태클,브리두라스,12
보만다,이판사판태클,타부자고,무효
보만다,이판사판태클,따라큐,무효
보만다,이판사판태클,고릴타,4
보만다,이판사판태클,킬가르도,무효
보만다,이판사판태클,마스카나,3
보만다,이판사판태클,갸라도스,5
보만다,이판사판태클,아머까오,12
보만다,이판사판태클,킬라플로르,7
보만다,이판사판태클,대쓰여너,무효
보만다,이판사판태클,리자몽,4
보만다,이판사판태클,포푸니크,3
보만다,이판사판태클,개굴닌자,3
보만다,이판사판태클,에이스번,3
보만다,이판사판태클,알로라 나인테일,3
보만다,이판사판태클,에써르(수컷),3
보만다,이판사판태클,워시로토무,4
보만다,이판사판태클,불카모스,5
보만다,이판사판태클,빠르모트,3
보만다,이판사판태클,라우드본,무효
보만다,이판사판태클,삼삼드래,4
보만다,이판사판태클,메타그로스,8
보만다,이판사판태클,망나뇽,5
보만다,이판사판태클,님피아,5
보만다,이판사판태클,히트로토무,4
보만다,이판사판태클,거북왕,4
보만다,이판사판태클,대도각참,9
보만다,이판사판태클,팬텀,무효
보만다,이판사판태클,마폭시,3
보만다,이판사판태클,엠페르트,8
보만다,이판사판태클,번치코,3
보만다,이판사판태클,대짱이,5
보만다,이판사판태클,라이츄,3
보만다,이판사판태클,블래키,8
보만다,이판사판태클,다크펫,무효
보만다,이판사판태클,더시마사리,8
보만다,이판사판태클,핫삼,9
보만다,이판사판태클,오롱털,3
보만다,이판사판태클,픽시,6
보만다,이판사판태클,카디나르마,4
보만다,이판사판태클,앱솔,3
보만다,이판사판태클,찌리배리,7
보만다,이판사판태클,맘모꾸리,4
보만다,이판사판태클,파라블레이즈,무효
보만다,이판사판태클,패리퍼,4
보만다,이판사판태클,찌르호크,6
보만다,이판사판태클,대검귀,4
보만다,이판사판태클,마기라스,18
보만다,이판사판태클,이어롭,4
보만다,이판사판태클,플라엣테,4
보만다,이판사판태클,배바닐라,4
보만다,이판사판태클,드래펄트,무효
보만다,이판사판태클,입치트,8
보만다,이판사판태클,메가니움,5
보만다,이판사판태클,메타몽,2
보만다,이판사판태클,이상해꽃,4
보만다,이판사판태클,밀로틱,6
보만다,이판사판태클,스코빌런,4
보만다,이판사판태클,아쿠스타,3
보만다,이판사판태클,몰드류,7
보만다,이판사판태클,조로아크(히스이),무효
보만다,이판사판태클,미끄래곤(히스이),14
보만다,이판사판태클,잠만보,6
보만다,이판사판태클,무장조,14
보만다,이판사판태클,클레스퍼트라,3
보만다,이판사판태클,창파나이트,4
보만다,이판사판태클,우츠보트,4
보만다,이판사판태클,가라르야도킹,6
보만다,이판사판태클,깜까미,무효
보만다,이판사판태클,엘풍,3
보만다,이판사판태클,저승갓숭,무효
보만다,이판사판태클,스트린더(하이),3
보만다,이판사판태클,샤미드,6
보만다,이판사판태클,사마자르,7
보만다,이판사판태클,인텔리레온,3
보만다,이판사판태클,깨비물거미,5
보만다,이판사판태클,가디안,3
보만다,이판사판태클,왕구리,4
보만다,이판사판태클,엘레이드,3
보만다,이판사판태클,브리무음,4
보만다,이판사판태클,눈여아,무효
보만다,이판사판태클,어흥염,7
보만다,이판사판태클,마릴리,5
보만다,이판사판태클,올리르바,4
보만다,이판사판태클,스트린더(로우),3
보만다,이판사판태클,펜드라,4
보만다,이판사판태클,화염레오,4
보만다,이판사판태클,윈디(히스이),8
보만다,이판사판태클,캥카,4
보만다,이판사판태클,꿈트렁,11
보만다,이판사판태클,에써르(암컷),3
보만다,이판사판태클,후딘,2
보만다,이판사판태클,드래캄,3
보만다,지진,한카리아스,5
보만다,지진,누리레느,5
보만다,지진,갑주무사,10
보만다,지진,하마돈,8
보만다,지진,루카리오,2
보만다,지진,드닐레이브,5
보만다,지진,브리두라스,4
보만다,지진,타부자고,4
보만다,지진,따라큐,3
보만다,지진,고릴타,8
보만다,지진,킬가르도,3
보만다,지진,마스카나,7
보만다,지진,갸라도스,무효
보만다,지진,아머까오,무효
보만다,지진,킬라플로르,2
보만다,지진,대쓰여너,4
보만다,지진,리자몽,무효
보만다,지진,포푸니크,2
보만다,지진,개굴닌자,4
보만다,지진,에이스번,2
보만다,지진,알로라 나인테일,4
보만다,지진,에써르(수컷),3
보만다,지진,워시로토무,무효
보만다,지진,불카모스,6
보만다,지진,빠르모트,2
보만다,지진,라우드본,5
보만다,지진,삼삼드래,무효
보만다,지진,메타그로스,3
보만다,지진,망나뇽,무효
보만다,지진,님피아,6
보만다,지진,히트로토무,무효
보만다,지진,거북왕,5
보만다,지진,대도각참,3
보만다,지진,팬텀,2
보만다,지진,마폭시,2
보만다,지진,엠페르트,3
보만다,지진,번치코,2
보만다,지진,대짱이,6
보만다,지진,라이츄,2
보만다,지진,블래키,10
보만다,지진,다크펫,4
보만다,지진,더시마사리,4
보만다,지진,핫삼,5
보만다,지진,오롱털,4
보만다,지진,픽시,7
보만다,지진,카디나르마,3
보만다,지진,앱솔,3
보만다,지진,찌리배리,4
보만다,지진,맘모꾸리,5
보만다,지진,파라블레이즈,2
보만다,지진,패리퍼,무효
보만다,지진,찌르호크,무효
보만다,지진,대검귀,4
보만다,지진,마기라스,3
보만다,지진,이어롭,5
보만다,지진,플라엣테,4
보만다,지진,배바닐라,4
보만다,지진,드래펄트,4
보만다,지진,입치트,3
보만다,지진,메가니움,11
보만다,지진,메타몽,3
보만다,지진,이상해꽃,5
보만다,지진,밀로틱,8
보만다,지진,스코빌런,5
보만다,지진,아쿠스타,4
보만다,지진,몰드류,2
보만다,지진,조로아크(히스이),3
보만다,지진,미끄래곤(히스이),3
보만다,지진,잠만보,8
보만다,지진,무장조,무효
보만다,지진,클레스퍼트라,4
보만다,지진,창파나이트,4
보만다,지진,우츠보트,4
보만다,지진,가라르야도킹,3
보만다,지진,깜까미,4
보만다,지진,엘풍,7
보만다,지진,저승갓숭,7
보만다,지진,스트린더(하이),2
보만다,지진,샤미드,8
보만다,지진,사마자르,4
보만다,지진,인텔리레온,4
보만다,지진,깨비물거미,10
보만다,지진,가디안,4
보만다,지진,왕구리,4
보만다,지진,엘레이드,3
보만다,지진,브리무음,4
보만다,지진,눈여아,4
보만다,지진,어흥염,5
보만다,지진,마릴리,6
보만다,지진,올리르바,9
보만다,지진,스트린더(로우),2
보만다,지진,펜드라,4
보만다,지진,화염레오,2
보만다,지진,윈디(히스이),2
보만다,지진,캥카,5
보만다,지진,꿈트렁,40
보만다,지진,에써르(암컷),4
보만다,지진,후딘,3
보만다,지진,드래캄,2
보만다,용성군,한카리아스,2
보만다,용성군,누리레느,무효
보만다,용성군,갑주무사,3
보만다,용성군,하마돈,4
보만다,용성군,루카리오,4
보만다,용성군,드닐레이브,2
보만다,용성군,브리두라스,3
보만다,용성군,타부자고,7
보만다,용성군,따라큐,무효
보만다,용성군,고릴타,2
보만다,용성군,킬가르도,9
보만다,용성군,마스카나,3
보만다,용성군,갸라도스,3
보만다,용성군,아머까오,8
보만다,용성군,킬라플로르,3
보만다,용성군,대쓰여너,3
보만다,용성군,리자몽,3
보만다,용성군,포푸니크,3
보만다,용성군,개굴닌자,2
보만다,용성군,에이스번,3
보만다,용성군,알로라 나인테일,무효
보만다,용성군,에써르(수컷),3
보만다,용성군,워시로토무,3
보만다,용성군,불카모스,5
보만다,용성군,빠르모트,2
보만다,용성군,라우드본,5
보만다,용성군,삼삼드래,2
보만다,용성군,메타그로스,5
보만다,용성군,망나뇽,2
보만다,용성군,님피아,무효
보만다,용성군,히트로토무,3
보만다,용성군,거북왕,3
보만다,용성군,대도각참,6
보만다,용성군,팬텀,2
보만다,용성군,마폭시,3
보만다,용성군,엠페르트,6
보만다,용성군,번치코,2
보만다,용성군,대짱이,4
보만다,용성군,라이츄,2
보만다,용성군,블래키,6
보만다,용성군,다크펫,2
보만다,용성군,더시마사리,5
보만다,용성군,핫삼,6
보만다,용성군,오롱털,무효
보만다,용성군,픽시,무효
보만다,용성군,카디나르마,3
보만다,용성군,앱솔,2
보만다,용성군,찌리배리,5
보만다,용성군,맘모꾸리,3
보만다,용성군,파라블레이즈,3
보만다,용성군,패리퍼,2
보만다,용성군,찌르호크,3
보만다,용성군,대검귀,3
보만다,용성군,마기라스,4
보만다,용성군,이어롭,3
보만다,용성군,플라엣테,무효
보만다,용성군,배바닐라,3
보만다,용성군,드래펄트,1
보만다,용성군,입치트,무효
보만다,용성군,메가니움,4
보만다,용성군,메타몽,2
보만다,용성군,이상해꽃,3
보만다,용성군,밀로틱,6
보만다,용성군,스코빌런,3
보만다,용성군,아쿠스타,3
보만다,용성군,몰드류,5
보만다,용성군,조로아크(히스이),2
보만다,용성군,미끄래곤(히스이),5
보만다,용성군,잠만보,6
보만다,용성군,무장조,7
보만다,용성군,클레스퍼트라,3
보만다,용성군,창파나이트,3
보만다,용성군,우츠보트,3
보만다,용성군,가라르야도킹,5
보만다,용성군,깜까미,2
