ko,item,usage_pct,model_class
보만다,구애스카프,0.8,구애스카프
보만다,생명의구슬,0.6,생명의구슬
보만다,울퉁불퉁멧,0.3,울퉁불퉁멧
보만다,먹다남은음식,0.1,먹다남은음식
한카리아스,구애스카프,19.1,구애스카프
한카리아스,기합의띠,16.6,기합의띠
한카리아스,자뭉열매,12.2,자뭉열매
한카리아스,울퉁불퉁멧,10.3,울퉁불퉁멧
누리레느,자뭉열매,40.6,자뭉열매
누리레느,먹다남은음식,24,먹다남은음식
누리레느,유루열매,11.3,(모델 밖)
누리레느,신비의물방울,8.9,타입강화
갑주무사,생명의구슬,0.5,생명의구슬
갑주무사,울퉁불퉁멧,0.2,울퉁불퉁멧
갑주무사,자뭉열매,0.1,자뭉열매
갑주무사,은빛가루,0.1,타입강화
하마돈,자뭉열매,69.3,자뭉열매
하마돈,울퉁불퉁멧,15.7,울퉁불퉁멧
하마돈,먹다남은음식,13.7,먹다남은음식
하마돈,보송보송바위,0.3,(모델 밖)
루카리오,기합의띠,0.3,기합의띠
루카리오,구애스카프,0.1,구애스카프
루카리오,생명의구슬,0,생명의구슬
루카리오,달인의띠,0,달인의띠
드닐레이브,기합의띠,26.9,기합의띠
드닐레이브,생명의구슬,9.7,생명의구슬
드닐레이브,구애스카프,5.1,구애스카프
드닐레이브,리샘열매,3.4,(모델 밖)
브리두라스,자뭉열매,30.4,자뭉열매
브리두라스,먹다남은음식,21.7,먹다남은음식
브리두라스,구애스카프,12.6,구애스카프
브리두라스,하양허브,11.4,(모델 밖)
타부자고,풍선,65.8,풍선
타부자고,먹다남은음식,12.2,먹다남은음식
타부자고,구애스카프,10.4,구애스카프
타부자고,생명의구슬,3.2,생명의구슬
따라큐,생명의구슬,81.5,생명의구슬
따라큐,저주의부적,3.3,타입강화
따라큐,초점렌즈,3,(모델 밖)
따라큐,리샘열매,2.5,(모델 밖)
고릴타,생명의구슬,26.2,생명의구슬
고릴타,기적의씨,19.4,타입강화
고릴타,그래스시드,17.3,(모델 밖)
고릴타,자뭉열매,11,자뭉열매
킬가르도,먹다남은음식,51.3,먹다남은음식
킬가르도,저주의부적,19.9,타입강화
킬가르도,생명의구슬,10.6,생명의구슬
킬가르도,기합의띠,9.5,기합의띠
마스카나,구애스카프,60.9,구애스카프
마스카나,기합의띠,26.4,기합의띠
마스카나,생명의구슬,9,생명의구슬
마스카나,달인의띠,2.4,달인의띠
갸라도스,울퉁불퉁멧,48.8,울퉁불퉁멧
갸라도스,먹다남은음식,17,먹다남은음식
갸라도스,자뭉열매,4.1,자뭉열매
갸라도스,달인의띠,2.6,달인의띠
아머까오,울퉁불퉁멧,58.6,울퉁불퉁멧
아머까오,먹다남은음식,29,먹다남은음식
아머까오,자뭉열매,11.1,자뭉열매
아머까오,리샘열매,0.3,(모델 밖)
킬라플로르,기합의띠,62.4,기합의띠
킬라플로르,구애스카프,11.8,구애스카프
킬라플로르,먹다남은음식,2.4,먹다남은음식
킬라플로르,자뭉열매,1.8,자뭉열매
대쓰여너,구애스카프,67.4,구애스카프
대쓰여너,신비의물방울,11,타입강화
대쓰여너,생명의구슬,10.8,생명의구슬
대쓰여너,기합의띠,6.2,기합의띠
리자몽,구애스카프,0.2,구애스카프
리자몽,자뭉열매,0.1,자뭉열매
리자몽,생명의구슬,0.1,생명의구슬
리자몽,기합의띠,0.1,기합의띠
포푸니크,사이코시드,48.5,(모델 밖)
포푸니크,노말주얼,27.8,(모델 밖)
포푸니크,그래스시드,7.3,(모델 밖)
포푸니크,기합의띠,4.9,기합의띠
개굴닌자,기합의띠,39.4,기합의띠
개굴닌자,구애스카프,12.3,구애스카프
개굴닌자,생명의구슬,6.6,생명의구슬
개굴닌자,달인의띠,1.2,달인의띠
에이스번,구애스카프,33.8,구애스카프
에이스번,기합의띠,31.9,기합의띠
에이스번,생명의구슬,23.3,생명의구슬
에이스번,광각렌즈,5.5,(모델 밖)
알로라 나인테일,빛의점토,92.2,(모델 밖)
알로라 나인테일,기합의띠,1.9,기합의띠
알로라 나인테일,녹지않는얼음,1.5,타입강화
알로라 나인테일,구애스카프,1.4,구애스카프
에써르(수컷),구애스카프,44.2,구애스카프
에써르(수컷),그라운드코트,29.4,(모델 밖)
에써르(수컷),기합의띠,17.1,기합의띠
에써르(수컷),생명의구슬,5.9,생명의구슬
워시로토무,먹다남은음식,33.7,먹다남은음식
워시로토무,자뭉열매,32.9,자뭉열매
워시로토무,구애스카프,14.4,구애스카프
워시로토무,울퉁불퉁멧,8.9,울퉁불퉁멧
불카모스,자뭉열매,47.2,자뭉열매
불카모스,리샘열매,16.7,(모델 밖)
불카모스,먹다남은음식,16.6,먹다남은음식
불카모스,기합의띠,5.6,기합의띠
빠르모트,기합의띠,90.5,기합의띠
빠르모트,생명의구슬,2.4,생명의구슬
빠르모트,풍선,2.1,풍선
빠르모트,구애스카프,1.4,구애스카프
라우드본,자뭉열매,40.8,자뭉열매
라우드본,먹다남은음식,38.8,먹다남은음식
라우드본,수불열매,4.8,(모델 밖)
라우드본,슈캐열매,3.2,(모델 밖)
삼삼드래,구애스카프,86.8,구애스카프
삼삼드래,기합의띠,4,기합의띠
삼삼드래,생명의구슬,2.7,생명의구슬
삼삼드래,리샘열매,1.3,(모델 밖)
메타그로스,생명의구슬,0.8,생명의구슬
메타그로스,풍선,0.7,풍선
메타그로스,슈캐열매,0.6,(모델 밖)
메타그로스,빛의점토,0.3,(모델 밖)
망나뇽,리샘열매,6.8,(모델 밖)
망나뇽,달인의띠,4.3,달인의띠
망나뇽,생명의구슬,4.2,생명의구슬
망나뇽,먹다남은음식,2.2,먹다남은음식
님피아,먹다남은음식,70.4,먹다남은음식
님피아,요정의깃털,12,타입강화
님피아,자뭉열매,5.9,자뭉열매
님피아,생명의구슬,5.6,생명의구슬
히트로토무,구애스카프,38.7,구애스카프
히트로토무,먹다남은음식,26.9,먹다남은음식
히트로토무,자뭉열매,20.9,자뭉열매
히트로토무,하양허브,3.5,(모델 밖)
거북왕,하양허브,1.9,(모델 밖)
거북왕,리샘열매,0.5,(모델 밖)
거북왕,자뭉열매,0.4,자뭉열매
거북왕,먹다남은음식,0.2,먹다남은음식
대도각참,검은안경,45.6,타입강화
대도각참,기합의띠,25,기합의띠
대도각참,생명의구슬,8.7,생명의구슬
대도각참,리샘열매,8,(모델 밖)
팬텀,기합의띠,19.2,기합의띠
팬텀,구애스카프,1,구애스카프
팬텀,풍선,0.5,풍선
팬텀,광각렌즈,0.3,(모델 밖)
마폭시,기합의띠,0.7,기합의띠
마폭시,구애스카프,0.5,구애스카프
마폭시,풍선,0.1,풍선
마폭시,생명의구슬,0.1,생명의구슬
엠페르트,슈캐열매,43.9,(모델 밖)
엠페르트,풍선,19.3,풍선
엠페르트,먹다남은음식,16.8,먹다남은음식
엠페르트,자뭉열매,10.3,자뭉열매
번치코,생명의구슬,18,생명의구슬
번치코,기합의띠,13,기합의띠
번치코,자뭉열매,3,자뭉열매
번치코,구애스카프,1.8,구애스카프
대짱이,자뭉열매,14.1,자뭉열매
대짱이,린드열매,7.1,(모델 밖)
대짱이,먹다남은음식,5.1,먹다남은음식
대짱이,기합의띠,2.1,기합의띠
라이츄,구애스카프,0.5,구애스카프
라이츄,기합의띠,0.3,기합의띠
라이츄,빛의점토,0.1,(모델 밖)
라이츄,풍선,0.1,풍선
블래키,먹다남은음식,88.8,먹다남은음식
블래키,울퉁불퉁멧,5.3,울퉁불퉁멧
블래키,자뭉열매,3.9,자뭉열매
블래키,리샘열매,0.4,(모델 밖)
다크펫,기합의띠,0.3,기합의띠
다크펫,먹다남은음식,0.1,먹다남은음식
다크펫,구애스카프,0.1,구애스카프
다크펫,자뭉열매,0.1,자뭉열매
더시마사리,먹다남은음식,67.3,먹다남은음식
더시마사리,자뭉열매,18.8,자뭉열매
더시마사리,멘탈허브,4,(모델 밖)
더시마사리,슈캐열매,3,(모델 밖)
핫삼,울퉁불퉁멧,19.3,울퉁불퉁멧
핫삼,생명의구슬,15.7,생명의구슬
핫삼,금속코트,10.4,타입강화
핫삼,자뭉열매,7.5,자뭉열매
오롱털,빛의점토,81.6,(모델 밖)
오롱털,먹다남은음식,5.1,먹다남은음식
오롱털,자뭉열매,2.9,자뭉열매
오롱털,생명의구슬,2,생명의구슬
픽시,먹다남은음식,10.5,먹다남은음식
픽시,자뭉열매,3.6,자뭉열매
픽시,생명의구슬,2.6,생명의구슬
픽시,울퉁불퉁멧,1.5,울퉁불퉁멧
카디나르마,기합의띠,88.6,기합의띠
카디나르마,슈캐열매,2.1,(모델 밖)
카디나르마,생명의구슬,1.7,생명의구슬
카디나르마,자뭉열매,1.2,자뭉열매
앱솔,초점렌즈,8.9,(모델 밖)
앱솔,기합의띠,7.9,기합의띠
앱솔,구애스카프,7.8,구애스카프
앱솔,검은안경,0.7,타입강화
찌리배리,먹다남은음식,64.8,먹다남은음식
찌리배리,자뭉열매,24.3,자뭉열매
찌리배리,슈캐열매,4.2,(모델 밖)
찌리배리,풍선,2.5,풍선
맘모꾸리,기합의띠,86.6,기합의띠
맘모꾸리,생명의구슬,4.2,생명의구슬
맘모꾸리,구애스카프,2.8,구애스카프
맘모꾸리,자뭉열매,1.7,자뭉열매
파라블레이즈,기합의띠,80.3,기합의띠
파라블레이즈,생명의구슬,4,생명의구슬
파라블레이즈,자뭉열매,2.5,자뭉열매
파라블레이즈,먹다남은음식,2.5,먹다남은음식
패리퍼,축축한바위,63.3,(모델 밖)
패리퍼,구애스카프,14.7,구애스카프
패리퍼,기합의띠,11.6,기합의띠
패리퍼,자뭉열매,4.1,자뭉열매
찌르호크,구애스카프,17.7,구애스카프
찌르호크,예리한부리,0.4,타입강화
찌르호크,생명의구슬,0.4,생명의구슬
찌르호크,선제공격손톱,0.2,(모델 밖)
대검귀,검은안경,37.1,타입강화
대검귀,기합의띠,30.6,기합의띠
대검귀,구애스카프,18.5,구애스카프
대검귀,리샘열매,5.6,(모델 밖)
마기라스,먹다남은음식,15.8,먹다남은음식
마기라스,자뭉열매,15.1,자뭉열매
마기라스,보송보송바위,14.8,(모델 밖)
마기라스,로플열매,4.3,(모델 밖)
이어롭,자뭉열매,2.5,자뭉열매
이어롭,구애스카프,0.6,구애스카프
이어롭,멘탈허브,0.4,(모델 밖)
이어롭,로플열매,0.3,(모델 밖)
플라엣테,구애스카프,11.3,구애스카프
플라엣테,자뭉열매,0.2,자뭉열매
플라엣테,생명의구슬,0,생명의구슬
플라엣테,기합의띠,0,기합의띠
배바닐라,녹지않는얼음,51.1,타입강화
배바닐라,빛의점토,36.7,(모델 밖)
배바닐라,기합의띠,4,기합의띠
배바닐라,구애스카프,2.2,구애스카프
드래펄트,생명의구슬,37.5,생명의구슬
드래펄트,구애스카프,26.3,구애스카프
드래펄트,빛의점토,16.5,(모델 밖)
드래펄트,기합의띠,12.7,기합의띠
입치트,기합의띠,0,기합의띠
입치트,생명의구슬,0,생명의구슬
입치트,유루열매,0,(모델 밖)
입치트,리샘열매,0,(모델 밖)
메가니움,기합의띠,0.1,기합의띠
메가니움,빛의점토,0,(모델 밖)
메가니움,먹다남은음식,0,먹다남은음식
메가니움,큰뿌리,0,(모델 밖)
메타몽,구애스카프,84.8,구애스카프
메타몽,기합의띠,6.2,기합의띠
메타몽,선제공격손톱,4.2,(모델 밖)
메타몽,레드카드,1.1,(모델 밖)
이상해꽃,생명의구슬,10.3,생명의구슬
이상해꽃,먹다남은음식,2,먹다남은음식
이상해꽃,자뭉열매,1.2,자뭉열매
