ko,item_class,class_usage_share,model_delta
보만다,생명의구슬,30.0,0.0277
보만다,구애스카프,40.0,0.0974
보만다,기합의띠,5.0,0.0278
보만다,자뭉열매,0.0,0.1324
보만다,먹다남은음식,5.0,0.0653
보만다,달인의띠,0.0,0.037
보만다,타입강화,0.0,0.0557
보만다,울퉁불퉁멧,15.0,0.0759
보만다,풍선,0.0,0
한카리아스,생명의구슬,2.1,-0.0052
한카리아스,구애스카프,30.4,0.1175
한카리아스,기합의띠,26.4,0.0664
한카리아스,자뭉열매,19.4,0.1459
한카리아스,먹다남은음식,0.0,0.0766
한카리아스,달인의띠,0.0,0.0255
한카리아스,타입강화,0.0,0.029
한카리아스,울퉁불퉁멧,16.4,0.0258
한카리아스,풍선,0.0,0.0023
누리레느,생명의구슬,1.2,0.063
누리레느,구애스카프,0.0,0.2461
누리레느,기합의띠,4.3,0.0056
누리레느,자뭉열매,41.7,0.1606
누리레느,먹다남은음식,24.7,0.1187
누리레느,달인의띠,0.0,0.0385
누리레느,타입강화,10.3,0.0348
누리레느,울퉁불퉁멧,0.8,0.0879
누리레느,풍선,0.0,0.0383
갑주무사,생명의구슬,55.6,-0.0243
갑주무사,구애스카프,0.0,0.2047
갑주무사,기합의띠,0.0,0
갑주무사,자뭉열매,11.1,0.1393
갑주무사,먹다남은음식,0.0,0.1111
갑주무사,달인의띠,0.0,0.0392
갑주무사,타입강화,11.1,0.0242
갑주무사,울퉁불퉁멧,22.2,0.0565
갑주무사,풍선,0.0,0
하마돈,생명의구슬,0.0,0.0436
하마돈,구애스카프,0.0,0.2291
하마돈,기합의띠,0.0,0.005
하마돈,자뭉열매,69.5,0.1746
하마돈,먹다남은음식,13.7,0.1144
하마돈,달인의띠,0.1,0.0532
하마돈,타입강화,0.0,0.0502
하마돈,울퉁불퉁멧,15.8,0.0868
하마돈,풍선,0.0,0.0028
루카리오,생명의구슬,0.0,0.0259
루카리오,구애스카프,25.0,0.0921
루카리오,기합의띠,75.0,0.0894
루카리오,자뭉열매,0.0,0.1731
루카리오,먹다남은음식,0.0,0.0912
루카리오,달인의띠,0.0,0.0389
루카리오,타입강화,0.0,0.0257
루카리오,울퉁불퉁멧,0.0,0.0453
루카리오,풍선,0.0,0.0939
드닐레이브,생명의구슬,20.0,-0.0373
드닐레이브,구애스카프,10.5,0.0999
드닐레이브,기합의띠,55.5,0.0378
드닐레이브,자뭉열매,2.3,0.1392
드닐레이브,먹다남은음식,0.4,0.0879
드닐레이브,달인의띠,1.0,0.0234
드닐레이브,타입강화,2.3,0.0034
드닐레이브,울퉁불퉁멧,0.0,0.028
드닐레이브,풍선,0.0,0.0168
브리두라스,생명의구슬,0.0,0.0067
브리두라스,구애스카프,13.1,0.1162
브리두라스,기합의띠,0.0,0.0077
브리두라스,자뭉열매,31.6,0.1507
브리두라스,먹다남은음식,22.6,0.0881
브리두라스,달인의띠,0.0,0.0254
브리두라스,타입강화,0.0,0.0089
브리두라스,울퉁불퉁멧,10.2,0.0431
브리두라스,풍선,3.9,0.0816
타부자고,생명의구슬,3.3,-0.0157
타부자고,구애스카프,10.6,0.13
타부자고,기합의띠,0.7,0.0074
타부자고,자뭉열매,1.1,0.1609
타부자고,먹다남은음식,12.4,0.0724
타부자고,달인의띠,0.0,0.0375
타부자고,타입강화,0.0,0.0165
타부자고,울퉁불퉁멧,2.3,0.0594
타부자고,풍선,67.0,0.1044
따라큐,생명의구슬,84.0,0.0349
따라큐,구애스카프,0.8,0.0929
따라큐,기합의띠,0.0,0.029
따라큐,자뭉열매,1.1,0.183
따라큐,먹다남은음식,0.7,0.0904
따라큐,달인의띠,0.0,0.0428
따라큐,타입강화,4.6,0.0369
따라큐,울퉁불퉁멧,1.7,0.0905
따라큐,풍선,0.0,0.0505
고릴타,생명의구슬,27.0,0.008
고릴타,구애스카프,0.0,0.1165
고릴타,기합의띠,4.5,0.0246
고릴타,자뭉열매,11.3,0.1491
고릴타,먹다남은음식,8.6,0.0738
고릴타,달인의띠,1.2,0.0351
고릴타,타입강화,20.0,0.0335
고릴타,울퉁불퉁멧,1.7,0.0462
고릴타,풍선,0.0,0
킬가르도,생명의구슬,11.3,0.0125
킬가르도,구애스카프,0.0,0.2467
킬가르도,기합의띠,10.1,0.0033
킬가르도,자뭉열매,1.1,0.168
킬가르도,먹다남은음식,54.6,0.1394
킬가르도,달인의띠,0.0,0.0272
킬가르도,타입강화,21.2,0.027
킬가르도,울퉁불퉁멧,0.5,0.0501
킬가르도,풍선,1.1,0.1021
마스카나,생명의구슬,9.0,0.0205
마스카나,구애스카프,61.3,0.0945
마스카나,기합의띠,26.6,0.1144
마스카나,자뭉열매,0.1,0.1115
마스카나,먹다남은음식,0.0,0.0632
마스카나,달인의띠,2.4,0.0295
마스카나,타입강화,0.3,0.0041
마스카나,울퉁불퉁멧,0.0,0.0445
마스카나,풍선,0.0,0
갸라도스,생명의구슬,0.9,0.0002
갸라도스,구애스카프,0.3,0.1482
갸라도스,기합의띠,0.3,0.0279
갸라도스,자뭉열매,5.4,0.1669
갸라도스,먹다남은음식,22.4,0.1515
갸라도스,달인의띠,3.4,0.0373
갸라도스,타입강화,0.0,0.0323
갸라도스,울퉁불퉁멧,64.3,0.0623
갸라도스,풍선,0.0,0
아머까오,생명의구슬,0.0,0.0842
아머까오,구애스카프,0.0,0.1438
아머까오,기합의띠,0.0,0
아머까오,자뭉열매,11.1,0.1641
아머까오,먹다남은음식,29.0,0.1356
아머까오,달인의띠,0.0,0.0382
아머까오,타입강화,0.2,0.0708
아머까오,울퉁불퉁멧,58.7,0.1269
아머까오,풍선,0.0,0
킬라플로르,생명의구슬,0.4,0.0214
킬라플로르,구애스카프,14.8,0.1053
킬라플로르,기합의띠,78.1,0.106
킬라플로르,자뭉열매,2.3,0.124
킬라플로르,먹다남은음식,3.0,0.066
킬라플로르,달인의띠,0.1,0.0575
킬라플로르,타입강화,0.0,0.0148
킬라플로르,울퉁불퉁멧,0.0,0.0595
킬라플로르,풍선,0.0,0.1128
대쓰여너,생명의구슬,10.8,0.027
대쓰여너,구애스카프,67.7,0.1732
대쓰여너,기합의띠,6.2,0.0112
대쓰여너,자뭉열매,0.6,0.1667
대쓰여너,먹다남은음식,0.0,0.0895
대쓰여너,달인의띠,0.0,0.0247
대쓰여너,타입강화,13.9,0.006
대쓰여너,울퉁불퉁멧,0.0,0.0452
대쓰여너,풍선,0.0,0.015
리자몽,생명의구슬,20.0,0.0466
리자몽,구애스카프,40.0,0.0967
리자몽,기합의띠,20.0,0.0321
리자몽,자뭉열매,20.0,0.1364
리자몽,먹다남은음식,0.0,0.0871
리자몽,달인의띠,0.0,0.0529
리자몽,타입강화,0.0,0.0358
리자몽,울퉁불퉁멧,0.0,0.0705
리자몽,풍선,0.0,0
포푸니크,생명의구슬,0.7,0.0167
포푸니크,구애스카프,1.0,0.1005
포푸니크,기합의띠,5.0,0.0857
포푸니크,자뭉열매,1.5,0.1344
포푸니크,먹다남은음식,0.0,0.0532
포푸니크,달인의띠,0.0,0.046
포푸니크,타입강화,0.0,0.0458
포푸니크,울퉁불퉁멧,0.0,0.0755
포푸니크,풍선,1.3,0.0928
개굴닌자,생명의구슬,10.9,0.0358
개굴닌자,구애스카프,20.4,0.0936
개굴닌자,기합의띠,65.3,0.0751
개굴닌자,자뭉열매,0.0,0.1202
개굴닌자,먹다남은음식,0.0,0.0651
개굴닌자,달인의띠,2.0,0.0609
개굴닌자,타입강화,0.2,0.01
개굴닌자,울퉁불퉁멧,0.0,0.0654
개굴닌자,풍선,0.0,0.0171
에이스번,생명의구슬,23.5,-0.0104
에이스번,구애스카프,34.1,0.1064
에이스번,기합의띠,32.2,0.0424
에이스번,자뭉열매,0.0,0.1464
에이스번,먹다남은음식,0.0,0.1016
에이스번,달인의띠,2.3,0.0392
에이스번,타입강화,0.2,0.0239
에이스번,울퉁불퉁멧,0.0,0.0587
에이스번,풍선,1.1,0.0795
알로라 나인테일,생명의구슬,0.4,0.0682
알로라 나인테일,구애스카프,1.4,0.1167
알로라 나인테일,기합의띠,1.9,0.0896
알로라 나인테일,자뭉열매,0.3,0.113
알로라 나인테일,먹다남은음식,0.0,0.0621
알로라 나인테일,달인의띠,0.0,0.0313
알로라 나인테일,타입강화,1.5,0.0564
알로라 나인테일,울퉁불퉁멧,0.4,0.1001
알로라 나인테일,풍선,0.0,0.0309
에써르(수컷),생명의구슬,6.0,0.0751
에써르(수컷),구애스카프,44.7,0.096
에써르(수컷),기합의띠,17.3,0.0287
에써르(수컷),자뭉열매,0.2,0.1044
에써르(수컷),먹다남은음식,0.0,0.0378
에써르(수컷),달인의띠,0.2,0.0612
에써르(수컷),타입강화,0.5,0.0191
에써르(수컷),울퉁불퉁멧,0.2,0.1156
에써르(수컷),풍선,0.0,0.0119
워시로토무,생명의구슬,0.7,0.0647
워시로토무,구애스카프,14.7,0.1033
워시로토무,기합의띠,0.0,0.0043
워시로토무,자뭉열매,33.6,0.1768
워시로토무,먹다남은음식,34.4,0.1079
워시로토무,달인의띠,0.0,0.0212
워시로토무,타입강화,0.4,0.0514
워시로토무,울퉁불퉁멧,9.1,0.0775
워시로토무,풍선,0.0,0
불카모스,생명의구슬,2.2,0.0672
불카모스,구애스카프,2.1,0.087
불카모스,기합의띠,5.8,0.0201
불카모스,자뭉열매,48.8,0.1715
불카모스,먹다남은음식,17.2,0.1209
불카모스,달인의띠,0.0,0.0365
불카모스,타입강화,0.0,0.0227
불카모스,울퉁불퉁멧,5.0,0.1021
불카모스,풍선,0.4,0.0008
빠르모트,생명의구슬,2.4,0.0385
빠르모트,구애스카프,1.4,0.1297
빠르모트,기합의띠,91.3,0.0897
빠르모트,자뭉열매,0.4,0.1494
빠르모트,먹다남은음식,0.0,0.0711
빠르모트,달인의띠,0.3,0.0243
빠르모트,타입강화,0.0,0.0343
빠르모트,울퉁불퉁멧,0.0,0.0371
빠르모트,풍선,2.1,0.0919
라우드본,생명의구슬,0.4,0.0752
라우드본,구애스카프,0.0,0.195
라우드본,기합의띠,0.0,0.0006
라우드본,자뭉열매,43.5,0.2112
라우드본,먹다남은음식,41.4,0.0902
라우드본,달인의띠,0.0,0.0726
라우드본,타입강화,1.1,0.0533
라우드본,울퉁불퉁멧,0.0,0.1301
라우드본,풍선,0.0,0.0737
삼삼드래,생명의구슬,2.7,0.0078
삼삼드래,구애스카프,88.0,0.0881
삼삼드래,기합의띠,4.1,0.1055
삼삼드래,자뭉열매,0.7,0.129
삼삼드래,먹다남은음식,1.0,0.0732
삼삼드래,달인의띠,0.6,0.0285
삼삼드래,타입강화,0.4,0.004
삼삼드래,울퉁불퉁멧,0.0,0.0404
삼삼드래,풍선,0.0,0
메타그로스,생명의구슬,22.9,0.0475
메타그로스,구애스카프,5.7,0.1976
메타그로스,기합의띠,0.0,0.0211
메타그로스,자뭉열매,8.6,0.1593
메타그로스,먹다남은음식,0.0,0.1213
메타그로스,달인의띠,5.7,0.0702
메타그로스,타입강화,0.0,0.0075
메타그로스,울퉁불퉁멧,0.0,0.0527
메타그로스,풍선,20.0,0.0839
망나뇽,생명의구슬,19.8,0.0807
망나뇽,구애스카프,3.3,0.1708
망나뇽,기합의띠,0.0,0.0526
망나뇽,자뭉열매,4.7,0.1453
망나뇽,먹다남은음식,10.4,0.0951
망나뇽,달인의띠,20.3,0.0777
망나뇽,타입강화,0.0,0.0547
망나뇽,울퉁불퉁멧,0.0,0.0922
망나뇽,풍선,0.0,0
님피아,생명의구슬,5.7,0.0296
님피아,구애스카프,0.0,0.2236
님피아,기합의띠,0.3,0.0035
님피아,자뭉열매,6.0,0.2125
님피아,먹다남은음식,71.3,0.1615
님피아,달인의띠,1.0,0.0442
님피아,타입강화,12.2,0.0701
님피아,울퉁불퉁멧,1.4,0.0864
님피아,풍선,0.0,0.0382
히트로토무,생명의구슬,1.0,0.024
히트로토무,구애스카프,40.1,0.0971
히트로토무,기합의띠,0.0,0.0121
히트로토무,자뭉열매,21.6,0.1795
히트로토무,먹다남은음식,27.9,0.1321
히트로토무,달인의띠,0.0,0.0156
히트로토무,타입강화,0.0,0.0375
히트로토무,울퉁불퉁멧,0.0,0.0696
히트로토무,풍선,0.0,0
거북왕,생명의구슬,2.8,-0.0222
거북왕,구애스카프,2.8,0.1846
거북왕,기합의띠,5.6,0.0025
거북왕,자뭉열매,11.1,0.1893
거북왕,먹다남은음식,5.6,0.1455
거북왕,달인의띠,0.0,0.0161
거북왕,타입강화,2.8,0.0265
거북왕,울퉁불퉁멧,0.0,0.038
거북왕,풍선,0.0,0.0135
대도각참,생명의구슬,8.9,0.0351
대도각참,구애스카프,0.0,0.2364
대도각참,기합의띠,25.6,0.082
대도각참,자뭉열매,3.1,0.1789
대도각참,먹다남은음식,1.4,0.0713
대도각참,달인의띠,0.4,0.0364
대도각참,타입강화,46.8,0.0287
대도각참,울퉁불퉁멧,0.0,0.0616
대도각참,풍선,0.0,0.0743
팬텀,생명의구슬,0.0,0.014
팬텀,구애스카프,4.7,0.1121
팬텀,기합의띠,91.0,0.0804
팬텀,자뭉열매,0.5,0.0906
팬텀,먹다남은음식,0.0,0.0596
팬텀,달인의띠,0.0,0.0329
팬텀,타입강화,0.0,0.0317
팬텀,울퉁불퉁멧,0.0,0.0673
팬텀,풍선,2.4,0.0932
마폭시,생명의구슬,6.7,0.0376
마폭시,구애스카프,33.3,0.1342
마폭시,기합의띠,46.7,0.0595
마폭시,자뭉열매,6.7,0.1428
마폭시,먹다남은음식,0.0,0.0764
