item,avg_usage_pct_over_100,mons_with_10pct_plus,model_class
기합의띠,13.07,33,기합의띠
먹다남은음식,11.55,30,먹다남은음식
자뭉열매,9.6,30,자뭉열매
구애스카프,8.08,25,구애스카프
생명의구슬,4.63,11,생명의구슬
빛의점토,2.87,5,(모델 밖)
울퉁불퉁멧,2.33,5,울퉁불퉁멧
풍선,2.1,4,풍선
리샘열매,1.15,1,(모델 밖)
축축한바위,1.15,2,(모델 밖)
슈캐열매,0.98,2,(모델 밖)
검은안경,0.86,2,타입강화
대파,0.84,1,(모델 밖)
그라운드코트,0.76,2,(모델 밖)
사이코시드,0.73,2,(모델 밖)
초점렌즈,0.7,1,(모델 밖)
유루열매,0.61,2,(모델 밖)
신비의물방울,0.59,2,타입강화
녹지않는얼음,0.54,1,타입강화
달인의띠,0.47,0,달인의띠
노말주얼,0.36,1,(모델 밖)
그래스시드,0.33,1,(모델 밖)
하양허브,0.31,1,(모델 밖)
로플열매,0.29,1,(모델 밖)
