ko,rank,setup_move,usage_pct,atk_multiplier,opp_weight
보만다,1,용의춤,78.2,1.5,1.86023
누리레느,3,명상,35.7,1.5,4.65058
갑주무사,4,칼춤,18.9,2,1.39517
루카리오,6,나쁜음모,84.1,2,1.04638
드닐레이브,7,칼춤,35.5,2,0.46506
타부자고,9,나쁜음모,92.3,2,2.55782
따라큐,10,칼춤,83.7,2,2.55782
고릴타,11,칼춤,10.4,2,0.69759
킬가르도,12,칼춤,28.1,2,1.62770
갸라도스,14,용의춤,33.8,1.5,2.44155
아머까오,15,벌크업,28.6,1.5,2.09276
리자몽,18,용의춤,27.6,1.5,2.20903
포푸니크,19,칼춤,57.9,2,1.39517
불카모스,25,나비춤,98.9,1.5,1.16265
망나뇽,30,용의춤,17.1,1.5,2.20903
히트로토무,32,나쁜음모,11.8,2,0.69759
거북왕,33,껍질깨기,92.2,2,0.81385
대도각참,34,칼춤,65.3,2,1.74397
마폭시,36,나쁜음모,58.3,2,1.86023
번치코,38,칼춤,46.9,2,0.93012
라이츄,40,나쁜음모,22.6,2,1.39517
핫삼,44,칼춤,64.2,2,1.39517
픽시,46,명상,37.4,1.5,0.69759
카디나르마,47,명상,17.9,1.5,0.34879
앱솔,48,칼춤,51.2,2,0.23253
파라블레이즈,51,칼춤,65.8,2,0.93012
대검귀,54,칼춤,20,2,0.81385
마기라스,55,용의춤,15.9,1.5,0.93012
이어롭,56,칼춤,34.8,2,1.27891
플라엣테,57,명상,87.9,1.5,1.04638
입치트,60,칼춤,55.3,2,1.04638
몰드류,67,칼춤,35.8,2,0.58132
무장조,71,칼춤,27.2,2,0.41294
클레스퍼트라,72,명상,49.4,1.5,0.34879
가라르야도킹,75,명상,23.3,1.5,0.58132
저승갓숭,78,벌크업,79.6,1.5,0.11626
샤미드,80,명상,12.7,1.5,0.23253
브리무음,87,명상,37,1.5,0.11626
눈여아,88,나쁜음모,12.2,2,0.23253
마릴리,90,배북,59.8,4,0.11626
펜드라,93,칼춤,66.7,2,0.11626
후딘,99,나쁜음모,40.8,2,0.30854
