setup_ko,setup_move,atk_mul,target_ko,turns_after_1_setup
보만다,용의춤,1.5,한카리아스,2
보만다,용의춤,1.5,누리레느,4
보만다,용의춤,1.5,갑주무사,3
보만다,용의춤,1.5,하마돈,3
보만다,용의춤,1.5,루카리오,3
보만다,용의춤,1.5,드닐레이브,2
보만다,용의춤,1.5,브리두라스,3
보만다,용의춤,1.5,타부자고,3
보만다,용의춤,1.5,따라큐,4
보만다,용의춤,1.5,고릴타,3
보만다,용의춤,1.5,킬가르도,3
보만다,용의춤,1.5,마스카나,3
보만다,용의춤,1.5,갸라도스,3
보만다,용의춤,1.5,아머까오,4
보만다,용의춤,1.5,킬라플로르,2
보만다,용의춤,1.5,대쓰여너,3
보만다,용의춤,1.5,리자몽,3
보만다,용의춤,1.5,포푸니크,3
보만다,용의춤,1.5,개굴닌자,3
보만다,용의춤,1.5,에이스번,3
보만다,용의춤,1.5,알로라 나인테일,3
보만다,용의춤,1.5,에써르(수컷),2
보만다,용의춤,1.5,워시로토무,3
보만다,용의춤,1.5,불카모스,3
보만다,용의춤,1.5,빠르모트,3
보만다,용의춤,1.5,라우드본,4
보만다,용의춤,1.5,삼삼드래,2
보만다,용의춤,1.5,메타그로스,3
보만다,용의춤,1.5,망나뇽,2
보만다,용의춤,1.5,님피아,4
보만다,용의춤,1.5,히트로토무,3
보만다,용의춤,1.5,거북왕,3
보만다,용의춤,1.5,대도각참,3
보만다,용의춤,1.5,팬텀,2
보만다,용의춤,1.5,마폭시,3
보만다,용의춤,1.5,엠페르트,3
보만다,용의춤,1.5,번치코,3
보만다,용의춤,1.5,대짱이,3
보만다,용의춤,1.5,라이츄,2
보만다,용의춤,1.5,블래키,4
보만다,용의춤,1.5,다크펫,3
보만다,용의춤,1.5,더시마사리,4
보만다,용의춤,1.5,핫삼,2
보만다,용의춤,1.5,오롱털,3
보만다,용의춤,1.5,픽시,4
보만다,용의춤,1.5,카디나르마,3
보만다,용의춤,1.5,앱솔,3
보만다,용의춤,1.5,찌리배리,4
보만다,용의춤,1.5,맘모꾸리,3
보만다,용의춤,1.5,파라블레이즈,3
보만다,용의춤,1.5,패리퍼,3
보만다,용의춤,1.5,찌르호크,3
보만다,용의춤,1.5,대검귀,3
보만다,용의춤,1.5,마기라스,3
보만다,용의춤,1.5,이어롭,3
보만다,용의춤,1.5,플라엣테,4
보만다,용의춤,1.5,배바닐라,3
보만다,용의춤,1.5,드래펄트,2
보만다,용의춤,1.5,입치트,2
보만다,용의춤,1.5,메가니움,3
보만다,용의춤,1.5,메타몽,2
보만다,용의춤,1.5,이상해꽃,3
보만다,용의춤,1.5,밀로틱,4
보만다,용의춤,1.5,스코빌런,3
보만다,용의춤,1.5,아쿠스타,3
보만다,용의춤,1.5,몰드류,3
보만다,용의춤,1.5,조로아크(히스이),3
보만다,용의춤,1.5,미끄래곤(히스이),3
보만다,용의춤,1.5,잠만보,3
보만다,용의춤,1.5,무장조,3
보만다,용의춤,1.5,클레스퍼트라,3
보만다,용의춤,1.5,창파나이트,3
보만다,용의춤,1.5,우츠보트,3
보만다,용의춤,1.5,가라르야도킹,3
보만다,용의춤,1.5,깜까미,3
보만다,용의춤,1.5,엘풍,3
보만다,용의춤,1.5,저승갓숭,3
보만다,용의춤,1.5,스트린더(하이),2
보만다,용의춤,1.5,샤미드,4
보만다,용의춤,1.5,사마자르,3
보만다,용의춤,1.5,인텔리레온,3
보만다,용의춤,1.5,깨비물거미,3
보만다,용의춤,1.5,가디안,3
보만다,용의춤,1.5,왕구리,3
보만다,용의춤,1.5,엘레이드,3
보만다,용의춤,1.5,브리무음,4
보만다,용의춤,1.5,눈여아,3
보만다,용의춤,1.5,어흥염,3
보만다,용의춤,1.5,마릴리,4
보만다,용의춤,1.5,올리르바,3
보만다,용의춤,1.5,스트린더(로우),2
보만다,용의춤,1.5,펜드라,3
보만다,용의춤,1.5,화염레오,3
보만다,용의춤,1.5,윈디(히스이),2
보만다,용의춤,1.5,캥카,3
보만다,용의춤,1.5,꿈트렁,3
보만다,용의춤,1.5,에써르(암컷),3
보만다,용의춤,1.5,후딘,2
보만다,용의춤,1.5,드래캄,2
누리레느,명상,1.5,보만다,2
누리레느,명상,1.5,한카리아스,2
누리레느,명상,1.5,갑주무사,3
누리레느,명상,1.5,하마돈,2
누리레느,명상,1.5,루카리오,3
누리레느,명상,1.5,드닐레이브,2
누리레느,명상,1.5,브리두라스,3
누리레느,명상,1.5,타부자고,4
누리레느,명상,1.5,따라큐,3
누리레느,명상,1.5,고릴타,3
누리레느,명상,1.5,킬가르도,3
누리레느,명상,1.5,마스카나,2
누리레느,명상,1.5,갸라도스,3
누리레느,명상,1.5,아머까오,4
누리레느,명상,1.5,킬라플로르,2
누리레느,명상,1.5,대쓰여너,3
누리레느,명상,1.5,리자몽,2
누리레느,명상,1.5,포푸니크,3
누리레느,명상,1.5,개굴닌자,2
누리레느,명상,1.5,에이스번,2
누리레느,명상,1.5,알로라 나인테일,3
누리레느,명상,1.5,에써르(수컷),3
누리레느,명상,1.5,워시로토무,3
누리레느,명상,1.5,불카모스,3
누리레느,명상,1.5,빠르모트,2
누리레느,명상,1.5,라우드본,3
누리레느,명상,1.5,삼삼드래,2
누리레느,명상,1.5,메타그로스,3
누리레느,명상,1.5,망나뇽,2
누리레느,명상,1.5,님피아,4
누리레느,명상,1.5,히트로토무,2
누리레느,명상,1.5,거북왕,3
누리레느,명상,1.5,대도각참,3
누리레느,명상,1.5,팬텀,3
누리레느,명상,1.5,마폭시,2
누리레느,명상,1.5,엠페르트,5
누리레느,명상,1.5,번치코,2
누리레느,명상,1.5,대짱이,3
누리레느,명상,1.5,라이츄,3
누리레느,명상,1.5,블래키,3
누리레느,명상,1.5,다크펫,3
누리레느,명상,1.5,더시마사리,6
누리레느,명상,1.5,핫삼,3
누리레느,명상,1.5,오롱털,2
누리레느,명상,1.5,픽시,4
누리레느,명상,1.5,카디나르마,2
누리레느,명상,1.5,앱솔,2
누리레느,명상,1.5,찌리배리,4
누리레느,명상,1.5,맘모꾸리,2
누리레느,명상,1.5,파라블레이즈,2
누리레느,명상,1.5,패리퍼,3
누리레느,명상,1.5,찌르호크,3
누리레느,명상,1.5,대검귀,2
누리레느,명상,1.5,마기라스,2
누리레느,명상,1.5,이어롭,3
누리레느,명상,1.5,플라엣테,4
누리레느,명상,1.5,배바닐라,3
누리레느,명상,1.5,드래펄트,2
누리레느,명상,1.5,입치트,3
누리레느,명상,1.5,메가니움,3
누리레느,명상,1.5,메타몽,2
누리레느,명상,1.5,이상해꽃,3
누리레느,명상,1.5,밀로틱,4
누리레느,명상,1.5,스코빌런,3
누리레느,명상,1.5,아쿠스타,3
누리레느,명상,1.5,몰드류,2
누리레느,명상,1.5,조로아크(히스이),3
누리레느,명상,1.5,미끄래곤(히스이),4
누리레느,명상,1.5,잠만보,4
누리레느,명상,1.5,무장조,3
누리레느,명상,1.5,클레스퍼트라,3
누리레느,명상,1.5,창파나이트,2
누리레느,명상,1.5,우츠보트,3
누리레느,명상,1.5,가라르야도킹,4
누리레느,명상,1.5,깜까미,2
누리레느,명상,1.5,엘풍,2
누리레느,명상,1.5,저승갓숭,3
누리레느,명상,1.5,스트린더(하이),3
누리레느,명상,1.5,샤미드,4
누리레느,명상,1.5,사마자르,2
누리레느,명상,1.5,인텔리레온,3
누리레느,명상,1.5,깨비물거미,3
누리레느,명상,1.5,가디안,3
누리레느,명상,1.5,왕구리,3
누리레느,명상,1.5,엘레이드,2
누리레느,명상,1.5,브리무음,3
누리레느,명상,1.5,눈여아,3
누리레느,명상,1.5,어흥염,2
누리레느,명상,1.5,마릴리,3
누리레느,명상,1.5,올리르바,3
누리레느,명상,1.5,스트린더(로우),3
누리레느,명상,1.5,펜드라,3
누리레느,명상,1.5,화염레오,2
누리레느,명상,1.5,윈디(히스이),2
누리레느,명상,1.5,캥카,3
누리레느,명상,1.5,꿈트렁,3
누리레느,명상,1.5,에써르(암컷),3
누리레느,명상,1.5,후딘,3
누리레느,명상,1.5,드래캄,3
갑주무사,칼춤,2,보만다,5
갑주무사,칼춤,2,한카리아스,3
갑주무사,칼춤,2,누리레느,3
갑주무사,칼춤,2,하마돈,3
갑주무사,칼춤,2,루카리오,2
갑주무사,칼춤,2,드닐레이브,2
갑주무사,칼춤,2,브리두라스,2
갑주무사,칼춤,2,타부자고,3
갑주무사,칼춤,2,따라큐,2
갑주무사,칼춤,2,고릴타,2
갑주무사,칼춤,2,킬가르도,2
갑주무사,칼춤,2,마스카나,2
갑주무사,칼춤,2,갸라도스,4
갑주무사,칼춤,2,아머까오,3
갑주무사,칼춤,2,킬라플로르,2
갑주무사,칼춤,2,대쓰여너,2
갑주무사,칼춤,2,리자몽,3
