team_no,size,members
1,6,입치트|따라큐|타부자고|삼삼드래|개굴닌자|라이츄
2,6,고릴타|브리두라스|에써르(암컷)|포푸니크|거북왕|한카리아스
3,6,갑주무사|누리레느|보만다|클레스퍼트라|에이스번|오롱털
4,6,타부자고|한카리아스|갑주무사|누리레느|맘모꾸리|에이스번
5,6,하마돈|보만다|누리레느|히트로토무|메타그로스|올리르바
6,6,하마돈|보만다|타부자고|킬라플로르|루카리오|누리레느
7,6,메타그로스|한카리아스|브리두라스|누리레느|킬라플로르|따라큐
8,6,보만다|킬가르도|누리레느|하마돈|타부자고|갑주무사
9,5,망나뇽|올리르바|픽시|고릴타|타부자고
10,5,파라블레이즈|루카리오|찌르호크|창파나이트|에써르(암컷)
11,5,에써르(수컷)|카디나르마|포푸니크|한카리아스|대도각참
12,5,에써르(수컷)|카디나르마|엘레이드|메타그로스|가디안
13,6,고릴타|메타그로스|한카리아스|워시로토무|개굴닌자|파라블레이즈
14,5,찌리배리|한카리아스|메타그로스|드닐레이브|누리레느
15,6,오롱털|한카리아스|갑주무사|왕구리|망나뇽|브리두라스
16,6,입치트|한카리아스|브리두라스|갑주무사|누리레느|에이스번
17,6,블래키|님피아|개굴닌자|앱솔|파라블레이즈|드래펄트
18,6,대검귀|마기라스|님피아|엘풍|어흥염|브리두라스
19,6,포푸니크|개굴닌자|몰드류|보만다|타부자고|아머까오
20,6,한카리아스|거북왕|에써르(수컷)|포푸니크|라우드본|킬라플로르
21,6,눈여아|누리레느|불카모스|마스카나|포푸니크|보만다
22,6,보만다|한카리아스|브리두라스|누리레느|패리퍼|대짱이
23,6,깨비물거미|메가니움|타부자고|보만다|찌리배리|맘모꾸리
24,6,캥카|드닐레이브|엘풍|아머까오|누리레느|마기라스
25,6,거북왕|고릴타|에써르(수컷)|하마돈|드닐레이브|루카리오
26,6,메타그로스|킬라플로르|누리레느|한카리아스|망나뇽|킬가르도
27,5,갸라도스|카디나르마|포푸니크|브리두라스|에써르(수컷)
28,6,마기라스|앱솔|드래펄트|마폭시|올리르바|파라블레이즈
29,4,킬라플로르|픽시|루카리오|고릴타
30,5,배바닐라|히트로토무|메가니움|메타그로스|한카리아스
31,6,이어롭|킬가르도|블래키|대쓰여너|한카리아스|팬텀
