nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0854,2,마폭시,5.31,0.515,0.6,0,한카리아스|브리두라스|에이스번|워시로토무|님피아|마폭시,72|47|62|8|43|69
0.0854,2,마폭시,5.361,0.529,1.4,0,한카리아스|브리두라스|아머까오|에이스번|님피아|마폭시,72|50|9|58|43|68
0.0827,2,마폭시,5.384,0.482,0.6,0,한카리아스|타부자고|에이스번|워시로토무|님피아|마폭시,73|39|67|11|46|64
0.0823,2,마폭시,5.394,0.49,0.6,0,한카리아스|마스카나|에이스번|워시로토무|님피아|마폭시,74|35|66|12|50|63
0.0797,2,마폭시,5.322,0.497,2.3,0,한카리아스|타부자고|아머까오|에이스번|님피아|마폭시,75|40|9|64|49|64
0.0759,2,마폭시,5.77,0.304,0.6,0,보만다|브리두라스|타부자고|에이스번|님피아|마폭시,51|42|30|60|42|74
0.0753,2,마폭시,5.832,0.29,0.6,0,보만다|타부자고|마스카나|에이스번|님피아|마폭시,54|37|35|57|48|69
0.0734,2,마폭시,5.755,0.314,0.6,0,보만다|브리두라스|마스카나|에이스번|님피아|마폭시,50|43|28|59|45|75
0.0724,2,보만다,5.339,0.507,2.8,0,보만다|한카리아스|타부자고|에이스번|워시로토무|님피아,55|81|41|67|11|46
0.0713,2,마폭시,5.047,0.473,1.4,0,한카리아스|아머까오|에이스번|워시로토무|님피아|마폭시,79|12|74|16|53|67
0.0712,2,한카리아스,5.302,0.547,0.0,0,보만다|한카리아스|브리두라스|아머까오|에이스번|님피아,53|82|45|9|66|46
0.0708,2,망나뇽,5.296,0.524,2.8,0,한카리아스|타부자고|에이스번|워시로토무|망나뇽|님피아,85|42|72|11|46|45
0.0707,2,망나뇽,5.384,0.557,0.6,0,한카리아스|마스카나|아머까오|에이스번|망나뇽|님피아,85|45|13|67|46|43
0.0703,2,한카리아스,5.248,0.52,0.0,0,보만다|한카리아스|타부자고|아머까오|에이스번|님피아,56|82|40|8|65|48
0.0702,2,마폭시,4.971,0.461,0.6,0,한카리아스|고릴타|에이스번|워시로토무|님피아|마폭시,78|13|75|12|54|69
0.07,2,마폭시,5.398,0.294,0.7,0,브리두라스|에이스번|워시로토무|망나뇽|님피아|마폭시,54|74|11|48|42|71
0.0699,2,마폭시,4.919,0.553,2.4,1,한카리아스|브리두라스|아머까오|에이스번|워시로토무|마폭시,73|66|11|70|11|69
0.0698,2,마폭시,5.396,0.286,0.6,0,보만다|브리두라스|에이스번|워시로토무|님피아|마폭시,50|50|66|11|46|77
0.0692,2,마폭시,5.369,0.296,1.4,0,보만다|브리두라스|아머까오|에이스번|님피아|마폭시,51|52|9|66|46|75
0.0691,2,한카리아스,5.375,0.537,3.6,0,보만다|한카리아스|마스카나|아머까오|에이스번|님피아,51|83|42|11|64|48
0.069,2,망나뇽,5.295,0.572,3.8,0,한카리아스|브리두라스|아머까오|에이스번|망나뇽|님피아,86|46|11|69|48|41
0.0689,2,망나뇽,5.239,0.542,0.6,0,한카리아스|타부자고|아머까오|에이스번|망나뇽|님피아,87|41|9|70|46|47
0.0684,2,마폭시,5.434,0.289,0.6,0,보만다|브리두라스|고릴타|에이스번|님피아|마폭시,49|51|12|64|45|78
0.0676,2,마폭시,5.369,0.289,1.4,0,보만다|브리두라스|에이스번|님피아|히트로토무|마폭시,51|51|65|48|9|76
0.0675,2,마폭시,5.566,0.247,0.6,0,보만다|타부자고|에이스번|워시로토무|님피아|마폭시,55|42|66|17|49|72
0.0664,2,마폭시,5.558,0.248,0.6,0,보만다|타부자고|고릴타|에이스번|님피아|마폭시,56|41|16|65|49|73
0.0662,2,마폭시,5.542,0.255,1.6,0,타부자고|에이스번|워시로토무|망나뇽|님피아|마폭시,45|73|16|54|46|66
0.0651,2,마폭시,5.567,0.248,0.6,0,보만다|타부자고|에이스번|삼삼드래|님피아|마폭시,54|38|66|18|51|72
0.0644,2,마폭시,5.522,0.26,0.6,0,보만다|마스카나|에이스번|워시로토무|님피아|마폭시,55|40|64|15|54|72
0.0638,2,마폭시,5.328,0.25,2.3,0,보만다|타부자고|에이스번|님피아|히트로토무|마폭시,58|41|66|53|8|73
0.0636,2,한카리아스,4.979,0.567,0.0,0,한카리아스|타부자고|갸라도스|아머까오|에이스번|님피아,95|42|41|6|77|40
0.0628,2,마폭시,5.312,0.256,2.3,0,보만다|타부자고|아머까오|에이스번|님피아|마폭시,59|41|8|68|52|73
0.0626,2,마폭시,5.335,0.272,1.7,0,보만다|누리레느|타부자고|에이스번|님피아|마폭시,59|8|45|65|51|72
0.0625,2,마폭시,5.468,0.275,1.4,0,보만다|마스카나|아머까오|에이스번|님피아|마폭시,56|44|12|65|52|71
0.0623,2,마폭시,5.172,0.31,0.7,0,브리두라스|갸라도스|아머까오|에이스번|님피아|마폭시,51|41|7|66|45|89
0.062,2,갑주무사,5.229,0.578,3.8,0,한카리아스|갑주무사|타부자고|마스카나|에이스번|님피아,93|13|43|41|72|39
0.0619,2,한카리아스,5.024,0.592,0.0,0,한카리아스|브리두라스|갸라도스|아머까오|에이스번|님피아,96|40|38|8|78|40
0.0617,2,망나뇽,5.88,0.306,2.8,0,보만다|타부자고|마스카나|에이스번|망나뇽|님피아,53|38|42|64|62|42
0.061,2,마폭시,5.531,0.196,0.6,0,보만다|에이스번|워시로토무|빠르모트|님피아|마폭시,54|63|16|38|54|75
0.0608,1,한카리아스,5.14,0.591,0.0,0,한카리아스|타부자고|마스카나|아머까오|에이스번|님피아,96|39|43|11|72|40
0.0595,2,마폭시,5.025,0.51,2.4,1,한카리아스|타부자고|아머까오|에이스번|워시로토무|마폭시,77|53|11|78|16|65
0.059,2,한카리아스,5.032,0.497,0.8,0,보만다|한카리아스|아머까오|에이스번|님피아|히트로토무,58|87|11|72|54|18
0.0589,2,한카리아스,5.02,0.501,3.6,0,보만다|한카리아스|아머까오|에이스번|워시로토무|님피아,59|87|11|71|16|55
0.0589,2,마폭시,5.129,0.532,0.6,1,한카리아스|마스카나|아머까오|에이스번|워시로토무|마폭시,82|43|18|81|17|60
0.057,2,마폭시,5.485,0.22,1.4,0,보만다|킬가르도|에이스번|워시로토무|님피아|마폭시,60|24|68|22|52|74
0.0569,2,망나뇽,5.113,0.513,1.4,0,한카리아스|아머까오|에이스번|망나뇽|님피아|히트로토무,90|15|76|48|52|19
0.0569,2,마폭시,5.312,0.343,2.8,1,보만다|브리두라스|마스카나|에이스번|워시로토무|마폭시,51|65|30|68|12|75
0.0568,2,마폭시,5.368,0.353,0.6,1,보만다|브리두라스|마스카나|아머까오|에이스번|마폭시,51|64|32|12|68|73
0.0567,2,망나뇽,5.788,0.311,10.1,0,보만다|브리두라스|타부자고|에이스번|망나뇽|님피아,64|43|31|68|54|39
0.0565,2,망나뇽,5.1,0.511,3.8,0,한카리아스|아머까오|에이스번|워시로토무|망나뇽|님피아,88|16|76|17|51|53
0.0564,2,마폭시,5.327,0.341,7.9,1,보만다|브리두라스|타부자고|아머까오|에이스번|마폭시,56|60|37|9|66|72
0.0562,2,마폭시,5.11,0.273,1.6,0,타부자고|갸라도스|아머까오|에이스번|님피아|마폭시,41|50|5|68|49|87
0.0546,2,망나뇽,5.063,0.255,0.6,0,아머까오|개굴닌자|에이스번|워시로토무|망나뇽|님피아,14|74|76|15|73|49
0.054,2,한카리아스,4.865,0.538,0.0,0,한카리아스|갸라도스|아머까오|에이스번|님피아|히트로토무,97|46|10|83|45|19
0.0535,2,마폭시,5.224,0.217,1.4,0,보만다|아머까오|에이스번|워시로토무|님피아|마폭시,61|12|74|23|56|74
0.0535,2,마폭시,5.306,0.21,0.6,0,보만다|에이스번|워시로토무|삼삼드래|님피아|마폭시,55|74|17|21|58|75
0.0531,2,마폭시,5.213,0.209,0.6,0,보만다|고릴타|에이스번|워시로토무|님피아|마폭시,60|19|74|15|56|77
0.0525,2,마폭시,5.202,0.216,1.4,0,보만다|고릴타|아머까오|에이스번|님피아|마폭시,60|23|12|76|55|75
0.0521,2,마폭시,5.288,0.214,0.6,0,보만다|대쓰여너|에이스번|워시로토무|님피아|마폭시,62|16|71|20|57|74
0.052,2,마폭시,5.181,0.208,1.4,0,보만다|에이스번|워시로토무|님피아|히트로토무|마폭시,59|74|21|58|12|76
0.0516,2,마폭시,5.24,0.223,3.7,0,아머까오|에이스번|워시로토무|망나뇽|님피아|마폭시,14|83|23|60|54|67
0.0514,2,마폭시,4.993,0.32,7.9,1,보만다|브리두라스|아머까오|에이스번|워시로토무|마폭시,58|68|12|73|13|76
0.0509,1,마폭시,5.258,0.319,0.7,0,브리두라스|마스카나|아머까오|에이스번|님피아|마폭시,49|34|12|66|46|92
0.0509,2,마폭시,5.434,0.349,1.4,0,보만다|타부자고|마스카나|아머까오|님피아|마폭시,66|47|45|11|57|73
0.0508,2,마폭시,5.377,0.315,0.6,1,보만다|타부자고|마스카나|아머까오|에이스번|마폭시,58|54|41|9|70|68
0.0505,2,마폭시,5.12,0.211,1.4,0,보만다|에이스번|워시로토무|불카모스|님피아|마폭시,61|75|22|9|58|76
0.0504,2,마폭시,5.013,0.313,2.8,1,보만다|브리두라스|에이스번|알로라 나인테일|워시로토무|마폭시,56|68|72|12|13|78
0.0503,2,마폭시,5.107,0.208,0.8,0,보만다|에이스번|워시로토무|님피아|마폭시|엠페르트,63|74|23|56|76|9
