nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0654,2,마폭시,5.42,0.605,1.6,0,한카리아스|브리두라스|타부자고|님피아|마폭시|어흥염,79|52|34|44|74|17
0.0645,2,플라엣테,5.359,0.498,2.1,0,한카리아스|타부자고|님피아|플라엣테|드래펄트|어흥염,83|45|28|58|70|17
0.0631,2,플라엣테,5.405,0.492,4.9,0,한카리아스|타부자고|님피아|히트로토무|플라엣테|드래펄트,82|41|31|19|56|71
0.0627,2,마폭시,5.261,0.613,1.6,0,한카리아스|브리두라스|타부자고|아머까오|님피아|마폭시,76|58|34|10|44|78
0.0618,2,플라엣테,5.231,0.487,2.1,0,한카리아스|타부자고|히트로토무|플라엣테|드래펄트|어흥염,81|45|18|67|70|19
0.061,2,플라엣테,5.188,0.49,0.6,0,한카리아스|타부자고|불카모스|플라엣테|드래펄트|어흥염,80|46|17|66|73|17
0.0595,2,플라엣테,4.979,0.491,2.1,0,한카리아스|타부자고|워시로토무|플라엣테|드래펄트|어흥염,81|47|8|68|75|21
0.0592,2,마폭시,5.127,0.602,0.9,0,한카리아스|브리두라스|아머까오|님피아|마폭시|어흥염,80|61|13|48|78|20
0.0588,2,플라엣테,4.996,0.498,0.6,0,한카리아스|타부자고|아머까오|플라엣테|드래펄트|어흥염,82|46|9|67|76|20
0.0567,2,플라엣테,5.023,0.502,3.4,0,한카리아스|타부자고|아머까오|히트로토무|플라엣테|드래펄트,83|44|10|19|68|76
0.056,2,마폭시,4.945,0.611,4.0,0,한카리아스|브리두라스|아머까오|워시로토무|님피아|마폭시,79|68|14|11|48|80
0.0547,2,마폭시,5.146,0.564,2.1,0,한카리아스|타부자고|워시로토무|님피아|마폭시|어흥염,85|52|17|55|74|17
0.0539,2,마폭시,5.228,0.554,2.1,0,한카리아스|타부자고|고릴타|님피아|마폭시|어흥염,83|49|19|54|76|18
0.0535,2,마폭시,5.16,0.558,3.8,0,한카리아스|타부자고|님피아|히트로토무|마폭시|어흥염,84|50|58|17|74|17
0.0533,2,마폭시,5.545,0.337,1.6,0,보만다|타부자고|마스카나|님피아|마폭시|어흥염,66|46|44|57|71|15
0.0525,2,마폭시,5.521,0.362,1.6,0,보만다|브리두라스|타부자고|님피아|마폭시|어흥염,65|57|39|48|75|16
0.0521,2,플라엣테,5.251,0.461,3.4,0,한카리아스|님피아|히트로토무|플라엣테|드래펄트|어흥염,85|36|24|62|75|19
