rank,ko,노출_기술수,노출_채용률합,절단보정계수,특성합,아이템합,채용률있는_공격기,전체_공격기,기본값_%,경고,신뢰도
1,보만다,10,374.0,1.070,100,99.7,7,7,,-,
2,한카리아스,10,298.3,1.341,100,98.5,9,9,,-,
3,누리레느,10,384.8,1.040,100,97.3,6,6,,-,
4,갑주무사,10,382.2,1.047,100,99.7,8,8,,-,
5,하마돈,10,398.7,1.003,100,99.7,3,3,,-,
6,루카리오,10,379.1,1.055,99.9,99.8,8,8,,-,
7,드닐레이브,10,395.1,1.012,100,98.6,8,8,,-,
8,브리두라스,10,361.6,1.106,100.1,96.2,8,8,,-,
9,타부자고,10,364.3,1.098,100,98.2,6,6,,-,
10,따라큐,10,388.5,1.030,100,97,5,5,,-,
11,고릴타,10,373.9,1.070,100,97.1,7,7,,-,
12,킬가르도,10,394.9,1.013,100,94,8,8,,아이템 합 94%,주의
13,마스카나,10,377.6,1.059,100,99.4,8,8,,-,
14,갸라도스,10,387.0,1.034,100,99.1,6,6,,-,
15,아머까오,10,389.7,1.026,100,99.9,4,4,,-,
16,킬라플로르,10,374.0,1.070,100,98.9,8,8,,-,
17,대쓰여너,10,391.4,1.022,99.9,99.6,7,7,,-,
18,리자몽,10,301.1,1.328,100,99.2,8,8,,-,
19,포푸니크,10,385.1,1.039,99.9,98.7,9,9,,-,
20,개굴닌자,10,381.2,1.049,100,99.5,9,9,,-,
21,에이스번,10,383.5,1.043,100,99,7,7,,-,
22,알로라 나인테일,10,391.2,1.022,100,99.1,5,5,,-,
23,에써르(수컷),10,388.4,1.030,100.1,98.9,6,6,,-,
24,워시로토무,10,387.8,1.031,100,98,5,5,,-,
25,불카모스,10,393.2,1.017,100,96.8,6,6,,-,
26,빠르모트,10,392.5,1.019,100,99.1,8,8,,-,
27,라우드본,10,390.6,1.024,100,93.7,6,6,,아이템 합 93.7%,주의
28,삼삼드래,10,388.9,1.029,100,98.6,7,7,,-,
29,메타그로스,10,383.4,1.043,100,98.9,9,9,,-,
30,망나뇽,10,349.2,1.145,100,97.5,8,8,,-,
31,님피아,10,390.0,1.026,100,98.7,5,5,,-,
32,히트로토무,10,376.6,1.062,100,96.6,4,4,,-,
33,거북왕,10,391.3,1.022,100,99.9,9,9,,-,
34,대도각참,10,394.1,1.015,100,97.5,5,5,,-,
35,팬텀,10,363.8,1.100,100,99.7,5,5,,-,
36,마폭시,10,350.9,1.140,100,99.2,6,6,,-,
37,엠페르트,10,387.0,1.034,100,98.2,7,7,,-,
38,번치코,10,370.3,1.080,100,98.5,6,6,,-,
39,대짱이,10,355.1,1.126,100,97.9,5,5,,-,
40,라이츄,10,356.2,1.123,100,99.1,6,6,,-,
41,블래키,10,392.3,1.020,100,99.4,2,2,,-,
42,다크펫,10,390.5,1.024,100.1,100,5,5,,-,
43,더시마사리,10,385.6,1.037,100.1,96.6,4,4,,-,
44,핫삼,10,382.1,1.047,99.9,83.9,6,6,,아이템 합 83.9%,주의
45,오롱털,10,389.4,1.027,100,97.2,5,5,,-,
46,픽시,10,357.0,1.120,99.9,98.6,4,4,,-,
47,카디나르마,10,373.1,1.072,100,97.9,6,6,,-,
48,앱솔,10,333.1,1.201,100,95,8,8,,-,
49,찌리배리,10,398.7,1.003,100,99.9,6,6,,-,
50,맘모꾸리,10,384.4,1.041,100,98.9,8,8,,-,
51,파라블레이즈,10,385.9,1.037,100,96.3,6,6,,-,
52,패리퍼,10,388.9,1.029,99.9,97.5,7,7,,-,
53,찌르호크,10,378.0,1.058,100,99.4,5,5,,-,
54,대검귀,10,390.5,1.024,100,97.9,8,8,,-,
55,마기라스,10,312.4,1.280,100,90.9,7,7,,아이템 합 90.9%,주의
56,이어롭,10,360.5,1.110,100,99.5,9,9,,-,
57,플라엣테,10,392.8,1.018,100,100,4,4,,-,
58,배바닐라,10,395.3,1.012,100,98.8,6,6,,-,
59,드래펄트,10,311.8,1.283,100,97.7,8,8,,-,
60,입치트,10,393.1,1.018,100,99.5,9,9,,-,
61,메가니움,10,396.0,1.010,100,99.7,6,6,,-,
62,메타몽,1,100.0,1.600,100,99.4,0,0,,절단보정 상한 / 노출 합 낮음,주의
63,이상해꽃,10,379.4,1.054,100,98.7,5,5,,-,
64,밀로틱,10,376.1,1.064,100,97,5,5,,-,
65,스코빌런,10,386.9,1.034,100,99.2,6,6,,-,
66,아쿠스타,10,368.3,1.086,100,99.5,9,9,,-,
67,몰드류,10,374.5,1.068,100,98.7,7,7,,-,
68,조로아크(히스이),10,302.2,1.324,100,95.8,8,8,,-,
69,미끄래곤(히스이),10,329.6,1.214,100.1,95.9,9,9,,-,
70,잠만보,10,302.9,1.321,100.1,97.2,6,6,,-,
71,무장조,10,358.8,1.115,100,97,4,4,,-,
72,클레스퍼트라,10,383.0,1.044,99.9,94.4,5,5,,아이템 합 94.4%,주의
73,창파나이트,10,366.1,1.093,100,99.2,9,9,,-,
74,우츠보트,10,372.1,1.075,100,99.8,6,6,,-,
75,가라르야도킹,10,323.9,1.235,100,92.9,6,6,,아이템 합 92.9%,주의
76,깜까미,10,366.8,1.091,100,95.9,1,1,,-,
77,엘풍,10,359.4,1.113,100,94,2,2,,아이템 합 94%,주의
78,저승갓숭,10,373.3,1.072,99.9,93.1,6,6,,아이템 합 93.1%,주의
79,스트린더(하이),10,355.7,1.125,100,97.6,7,7,,-,
80,샤미드,10,378.7,1.056,100,98.5,4,4,,-,
81,사마자르,10,374.0,1.070,100,98.5,8,8,,-,
82,인텔리레온,10,360.2,1.110,100,98.2,9,9,,-,
83,깨비물거미,10,342.3,1.169,100,92,7,7,,아이템 합 92%,주의
84,가디안,10,333.7,1.199,100,97.8,8,8,,-,
85,왕구리,10,318.5,1.256,100,90.8,6,6,,아이템 합 90.8%,주의
86,엘레이드,10,368.0,1.087,100,98.6,9,9,,-,
87,브리무음,10,324.7,1.232,100,92.5,7,7,,아이템 합 92.5%,주의
88,눈여아,10,380.3,1.052,100,98.6,5,5,,-,
89,어흥염,10,346.3,1.155,100,90,6,6,,아이템 합 90%,주의
90,마릴리,10,366.5,1.091,100.1,96.5,6,6,,-,
91,올리르바,10,363.1,1.102,100,94.2,4,4,,아이템 합 94.2%,주의
92,스트린더(로우),10,360.5,1.110,100,97.6,7,7,,-,
93,펜드라,10,382.8,1.045,100,95.7,5,5,,-,
94,화염레오,10,370.5,1.080,100,99.7,6,6,,-,
95,윈디(히스이),10,376.2,1.063,100,96.6,7,7,,-,
96,캥카,10,364.7,1.097,99.7,99.1,10,10,,-,
97,꿈트렁,10,382.0,1.047,100,98.3,5,5,,-,
98,에써르(암컷),10,340.1,1.176,100,94.2,5,5,,아이템 합 94.2%,주의
99,후딘,10,366.8,1.091,100,99.2,7,7,,-,
100,드래캄,10,366.4,1.092,100,98.7,8,8,,-,
