rank,ko,ladder_count_149,ladder_pct,in_candidate_teams_450,candidate_pct,flag
21,에이스번,3,2,445,98.9,외삽 경고
31,님피아,9,6,298,66.2,
78,저승갓숭,1,0.7,295,65.6,외삽 경고
15,아머까오,18,12.1,249,55.3,
24,워시로토무,6,4,187,41.6,
57,플라엣테,9,6,177,39.3,
32,히트로토무,6,4,127,28.2,
1,보만다,16,10.7,108,24,
59,드래펄트,5,3.4,107,23.8,
70,잠만보,3,2,100,22.2,외삽 경고
89,어흥염,6,4,97,21.6,
9,타부자고,22,14.8,89,19.8,
8,브리두라스,31,20.8,78,17.3,
13,마스카나,27,18.1,69,15.3,
2,한카리아스,63,42.3,56,12.4,
30,망나뇽,19,12.8,47,10.4,
71,무장조,0,0,39,8.7,외삽 경고
95,윈디(히스이),1,0.7,35,7.8,외삽 경고
69,미끄래곤(히스이),3,2,29,6.4,저표본
36,마폭시,16,10.7,22,4.9,
25,불카모스,10,6.7,21,4.7,
28,삼삼드래,10,6.7,9,2,
27,라우드본,7,4.7,5,1.1,
12,킬가르도,14,9.4,5,1.1,
22,알로라 나인테일,9,6,4,0.9,
17,대쓰여너,11,7.4,1,0.2,
4,갑주무사,12,8.1,1,0.2,
79,스트린더(하이),0,0,0,0,저표본
82,인텔리레온,0,0,0,0,저표본
92,스트린더(로우),0,0,0,0,저표본
97,꿈트렁,0,0,0,0,저표본
99,후딘,0,0,0,0,저표본
42,다크펫,1,0.7,0,0,저표본
73,창파나이트,1,0.7,0,0,저표본
74,우츠보트,1,0.7,0,0,저표본
87,브리무음,1,0.7,0,0,저표본
90,마릴리,1,0.7,0,0,저표본
93,펜드라,1,0.7,0,0,저표본
26,빠르모트,2,1.3,0,0,저표본
37,엠페르트,2,1.3,0,0,저표본
48,앱솔,2,1.3,0,0,저표본
62,메타몽,2,1.3,0,0,저표본
80,샤미드,2,1.3,0,0,저표본
81,사마자르,2,1.3,0,0,저표본
88,눈여아,2,1.3,0,0,저표본
94,화염레오,2,1.3,0,0,저표본
98,에써르(암컷),2,1.3,0,0,저표본
47,카디나르마,3,2,0,0,저표본
58,배바닐라,3,2,0,0,저표본
64,밀로틱,3,2,0,0,저표본
68,조로아크(히스이),3,2,0,0,저표본
72,클레스퍼트라,3,2,0,0,저표본
76,깜까미,3,2,0,0,저표본
83,깨비물거미,3,2,0,0,저표본
85,왕구리,3,2,0,0,저표본
86,엘레이드,3,2,0,0,저표본
91,올리르바,3,2,0,0,저표본
7,드닐레이브,4,2.7,0,0,
65,스코빌런,4,2.7,0,0,
84,가디안,4,2.7,0,0,
50,맘모꾸리,5,3.4,0,0,
67,몰드류,5,3.4,0,0,
75,가라르야도킹,5,3.4,0,0,
77,엘풍,5,3.4,0,0,
100,드래캄,5,3.4,0,0,
11,고릴타,6,4,0,0,
23,에써르(수컷),6,4,0,0,
46,픽시,6,4,0,0,
61,메가니움,6,4,0,0,
33,거북왕,7,4.7,0,0,
49,찌리배리,7,4.7,0,0,
53,찌르호크,7,4.7,0,0,
54,대검귀,7,4.7,0,0,
63,이상해꽃,7,4.7,0,0,
66,아쿠스타,7,4.7,0,0,
96,캥카,7,4.7,0,0,
38,번치코,8,5.4,0,0,
39,대짱이,8,5.4,0,0,
45,오롱털,8,5.4,0,0,
51,파라블레이즈,8,5.4,0,0,
52,패리퍼,8,5.4,0,0,
55,마기라스,8,5.4,0,0,
6,루카리오,9,6,0,0,
43,더시마사리,9,6,0,0,
60,입치트,9,6,0,0,
16,킬라플로르,10,6.7,0,0,
41,블래키,11,7.4,0,0,
56,이어롭,11,7.4,0,0,
19,포푸니크,12,8.1,0,0,
40,라이츄,12,8.1,0,0,
44,핫삼,12,8.1,0,0,
35,팬텀,13,8.7,0,0,
34,대도각참,15,10.1,0,0,
18,리자몽,19,12.8,0,0,
20,개굴닌자,19,12.8,0,0,
5,하마돈,21,14.1,0,0,
14,갸라도스,21,14.1,0,0,
10,따라큐,22,14.8,0,0,
29,메타그로스,28,18.8,0,0,
3,누리레느,40,26.8,0,0,
