pokemon,invest,mega,slot,move,type,cat,adoption_pct,role,status,drop_if_replaced,best_replacement,fastest_ko_share_pct,set_score,real_top4_score,real_top4,alt_set,win_share_pct,lose_share_pct
보만다,물리,1,1,이판사판태클,노말,물,81,,고정,,,78,0.1255,0.1255,이판사판태클|용의춤|지진|날개쉬기,,30,14.5
보만다,물리,1,2,용의춤,드래곤,변,78.2,쌓기,고정,,,0,0.1255,0.1255,이판사판태클|용의춤|지진|날개쉬기,,30,14.5
보만다,물리,1,3,지진,땅,물,75.6,,고정,,,20.1,0.1255,0.1255,이판사판태클|용의춤|지진|날개쉬기,,30,14.5
보만다,물리,1,4,날개쉬기,비행,변,70.1,회복,유지,,,0,0.1255,0.1255,이판사판태클|용의춤|지진|날개쉬기,,30,14.5
한카리아스,물리,0,1,지진,땅,물,90.1,,고정,,,44.8,0.0691,-0.0933,지진|스텔스록|용성군|화염방사,지진|스텔스록|역린|암석봉인,21.9,11.7
한카리아스,물리,0,2,스텔스록,바위,변,53.2,모델 밖,유지,,,0,0.0691,-0.0933,지진|스텔스록|용성군|화염방사,지진|스텔스록|역린|암석봉인,21.9,11.7
한카리아스,물리,0,3,화염방사,불꽃,특,36.5,,선택,0.0279,암석봉인,4.8,0.0691,-0.0933,지진|스텔스록|용성군|화염방사,지진|스텔스록|역린|암석봉인,21.9,11.7
한카리아스,물리,0,4,역린,드래곤,물,34.6,,바꿈,0.0908,스케일샷,43.1,0.0691,-0.0933,지진|스텔스록|용성군|화염방사,지진|스텔스록|역린|암석봉인,21.9,11.7
누리레느,특수,0,1,문포스,페어리,특,100,,고정,,,63.9,-0.096,-0.096,문포스|물거품아리아|아쿠아제트|앙코르,,17.2,32.1
누리레느,특수,0,2,물거품아리아,물,특,96.4,,고정,,,31.4,-0.096,-0.096,문포스|물거품아리아|아쿠아제트|앙코르,,17.2,32.1
누리레느,특수,0,3,아쿠아제트,물,물,70.8,선공,고정,,,0,-0.096,-0.096,문포스|물거품아리아|아쿠아제트|앙코르,,17.2,32.1
누리레느,특수,0,4,앙코르,노말,변,48.4,모델 밖,유지,,,0,-0.096,-0.096,문포스|물거품아리아|아쿠아제트|앙코르,,17.2,32.1
갑주무사,물리,1,1,만나자마자,벌레,물,81.4,,고정,,,57.5,-0.0167,-0.0167,만나자마자|아이언헤드|기습|유턴,만나자마자|아이언헤드|유턴|인파이트,33.5,38.8
갑주무사,물리,1,2,아이언헤드,강철,물,80.8,,고정,,,26.6,-0.0167,-0.0167,만나자마자|아이언헤드|기습|유턴,만나자마자|아이언헤드|유턴|인파이트,33.5,38.8
갑주무사,물리,1,3,유턴,벌레,물,50.1,교체,유지,,,0,-0.0167,-0.0167,만나자마자|아이언헤드|기습|유턴,만나자마자|아이언헤드|유턴|인파이트,33.5,38.8
갑주무사,물리,1,4,기습,악,물,55,선공,선택,0.0118,인파이트,14.5,-0.0167,-0.0167,만나자마자|아이언헤드|기습|유턴,만나자마자|아이언헤드|유턴|인파이트,33.5,38.8
하마돈,물리,0,1,지진,땅,물,98.4,,고정,,,81.7,-0.3046,-0.3046,지진|하품|스텔스록|날려버리기,,8.8,52.1
하마돈,물리,0,2,하품,노말,변,96.6,모델 밖,유지,,,0,-0.3046,-0.3046,지진|하품|스텔스록|날려버리기,,8.8,52.1
하마돈,물리,0,3,스텔스록,바위,변,94.2,모델 밖,유지,,,0,-0.3046,-0.3046,지진|하품|스텔스록|날려버리기,,8.8,52.1
하마돈,물리,0,4,날려버리기,노말,변,63.6,모델 밖,유지,,,0,-0.3046,-0.3046,지진|하품|스텔스록|날려버리기,,8.8,52.1
루카리오,특수,1,1,나쁜음모,악,변,84.1,쌓기,고정,,,0,-0.0169,-0.0169,나쁜음모|파동탄|악의파동|러스터캐논,,23.6,21.5
루카리오,특수,1,2,파동탄,격투,특,82.6,,고정,,,62.1,-0.0169,-0.0169,나쁜음모|파동탄|악의파동|러스터캐논,,23.6,21.5
루카리오,특수,1,3,악의파동,악,특,78.8,,고정,,,14,-0.0169,-0.0169,나쁜음모|파동탄|악의파동|러스터캐논,,23.6,21.5
루카리오,특수,1,4,러스터캐논,강철,특,78.5,,고정,,,22.8,-0.0169,-0.0169,나쁜음모|파동탄|악의파동|러스터캐논,,23.6,21.5
드닐레이브,물리,1,1,지진,땅,물,91.7,,고정,,,46.2,0.2447,0.2388,지진|얼음뭉치|대검돌격|고드름떨구기,지진|얼음뭉치|대검돌격|고드름떨구기,31.4,4.2
드닐레이브,물리,1,2,얼음뭉치,얼음,물,88.4,선공,고정,,,0.6,0.2447,0.2388,지진|얼음뭉치|대검돌격|고드름떨구기,지진|얼음뭉치|대검돌격|고드름떨구기,31.4,4.2
