pokemon,rank,stone_rate_pct,eff_mega_pct,opp_weight_pct
보만다,1,97.7,47.4,1.860
한카리아스,2,35.7,19.1,7.325
누리레느,3,,0.0,4.651
갑주무사,4,98.8,49.0,1.395
하마돈,5,,0.0,2.442
루카리오,6,99.4,47.8,1.046
드닐레이브,7,50.1,27.7,0.465
브리두라스,8,,0.0,3.604
타부자고,9,,0.0,2.558
따라큐,10,,0.0,2.558
고릴타,11,,0.0,0.698
킬가르도,12,,0.0,1.628
마스카나,13,,0.0,3.139
갸라도스,14,23.2,14.2,2.442
아머까오,15,,0.0,2.093
킬라플로르,16,19,9.7,1.163
대쓰여너,17,,0.0,1.279
리자몽,18,98.7,49.7,2.209
포푸니크,19,,0.0,1.395
개굴닌자,20,39.2,21.7,2.209
에이스번,21,,0.0,0.349
알로라 나인테일,22,,0.0,1.046
에써르(수컷),23,,0.0,0.698
워시로토무,24,,0.0,0.698
불카모스,25,,0.0,1.163
빠르모트,26,,0.0,0.233
라우드본,27,,0.0,0.814
삼삼드래,28,,0.0,1.163
메타그로스,29,95.4,51.5,3.255
망나뇽,30,76.3,39.9,2.209
님피아,31,,0.0,1.046
히트로토무,32,,0.0,0.698
거북왕,33,96.3,50.5,0.814
대도각참,34,,0.0,1.744
팬텀,35,78.6,43.4,1.511
마폭시,36,97.7,47.7,1.860
엠페르트,37,,0.0,0.233
번치코,38,60.4,29.4,0.930
대짱이,39,67.3,37.0,0.930
라이츄,40,98.1,44.7,1.395
블래키,41,,0.0,1.279
다크펫,42,99.4,42.4,0.116
더시마사리,43,,0.0,1.046
핫삼,44,19.3,11.1,1.395
오롱털,45,,0.0,0.930
픽시,46,79,38.6,0.698
카디나르마,47,,0.0,0.349
앱솔,48,67.7,49.1,0.233
찌리배리,49,,0.0,0.814
맘모꾸리,50,,0.0,0.581
파라블레이즈,51,,0.0,0.930
패리퍼,52,,0.0,0.930
찌르호크,53,79.8,46.7,0.814
대검귀,54,,0.0,0.814
마기라스,55,29.2,17.5,0.930
이어롭,56,95.6,47.1,1.279
플라엣테,57,88.5,47.3,1.046
배바닐라,58,,0.0,0.349
드래펄트,59,,0.0,0.581
입치트,60,99.5,49.6,1.046
메가니움,61,99.6,55.2,0.698
메타몽,62,,0.0,0.233
이상해꽃,63,82.7,42.9,0.814
밀로틱,64,,0.0,0.349
스코빌런,65,92,44.8,0.465
아쿠스타,66,93.9,39.8,0.814
몰드류,67,2.3,1.8,0.581
조로아크(히스이),68,,0.0,0.349
미끄래곤(히스이),69,,0.0,0.349
잠만보,70,,0.0,0.349
무장조,71,32,20.8,0.413
클레스퍼트라,72,,0.0,0.349
창파나이트,73,,0.0,0.116
우츠보트,74,98.9,38.7,0.116
가라르야도킹,75,,0.0,0.581
깜까미,76,20.8,17.1,0.349
엘풍,77,,0.0,0.581
저승갓숭,78,,0.0,0.116
스트린더(하이),79,,0.0,0.376
샤미드,80,,0.0,0.233
사마자르,81,,0.0,0.233
인텔리레온,82,,0.0,0.364
깨비물거미,83,,0.0,0.349
가디안,84,59.2,31.7,0.465
왕구리,85,,0.0,0.349
엘레이드,86,12.3,8.3,0.349
브리무음,87,,0.0,0.116
눈여아,88,96,49.5,0.233
어흥염,89,,0.0,0.698
마릴리,90,,0.0,0.116
올리르바,91,,0.0,0.349
스트린더(로우),92,,0.0,0.329
펜드라,93,37.1,16.6,0.116
화염레오,94,98,39.2,0.233
윈디(히스이),95,,0.0,0.116
캥카,96,92.4,41.9,0.814
꿈트렁,97,,0.0,0.314
에써르(암컷),98,,0.0,0.233
후딘,99,,0.0,0.309
드래캄,100,92.2,65.9,0.581
