atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
보만다,0,0.2077,0.0298,1.0000,0.2368,0.3730,0.1072,-0.1261,0.1277,0.4909,1.0000,0.2094,-0.1960,0.1395,0.8956,0.4428,0.2094,0.7467,0.7802,-0.4293,0.7085,0.0374,0.7784,0.7768,0.9771,0.3730,0.5904,0.1072,0.2094,0.1765,-0.0077,0.7493,-0.0256,0.7250,0.4428,0.7085,-0.0256,0.7784,0.2094,0.7085,0.9294,0.7802,0.9216,0.9757,0.3730,0.3166,0.5434,0.1379,0.8878,-0.1261,0.7085,0.1493,0.8081,0.1379,0.2094,0.1379,0.0095,-0.1977,-0.2589,0.4428,0.9363,0.4428,0.9303,0.2090,0.9734,0.1379,0.7085,0.4428,-0.0256,0.2094,0.9445,0.7085,0.8807,0.8807,0.1305,0.9829,0.6063,0.4428,0.7784,0.2006,0.7085,-0.1960,0.5568,0.1379,0.1379,0.2741,0.1736,0.0374,0.9337,0.2639,0.7784,0.7784,0.8662,0.7802,0.2139,0.2249,0.9444,0.7085,0.3100,0.1072
한카리아스,0.1072,0,-0.1236,0.4735,0.6325,0.1379,0.0356,-0.1977,0.2083,-0.0955,0.8090,0.1379,0.1379,0.4735,0.5732,0.7068,0.4735,0.3943,0.1379,0.1379,0.4735,0.1379,0.4735,1.0000,0.6745,0.4735,0.5684,0.0356,0.4735,0.1368,-0.5249,0.9113,0.4735,0.4735,0.4735,0.4735,0.4850,0.1379,0.4735,0.4735,0.8379,0.4735,0.9932,0.7656,-0.0955,-0.2416,0.4735,0.1379,0.9937,0.1379,0.4735,0.5270,0.7476,0.4735,0.4735,0.4735,-0.3859,0.1379,0.3712,0.1379,0.7762,0.3712,0.7552,0.5727,0.9113,0.4735,0.4735,0.4735,0.1379,0.2400,0.7166,0.4735,0.1379,0.8090,0.5398,0.8919,0.1379,0.2648,0.7068,0.5609,0.4735,0.4735,0.8090,-0.0955,0.4735,0.1379,-0.2122,0.1379,0.8090,-0.1939,0.3335,0.7068,0.4735,0.4735,0.3750,0.4735,0.8090,0.4735,0.4735,0.0356
누리레느,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑주무사,-0.8174,-0.5621,-0.1031,0,0.2715,0.1737,0.7696,0.3424,0.1105,1.0000,0.6780,-0.1584,0.9366,-0.4905,0.0798,0.5093,-0.2267,-0.8977,-0.3288,0.3357,-0.6644,1.0000,-0.0955,0.0352,-0.8803,-0.3288,-0.8977,-0.5689,0.5310,-0.7237,-0.2604,-0.8977,-0.2267,0.6712,0.3424,-0.6644,0.0567,-0.6644,0.1066,0.1023,1.0000,0.3424,0.9103,0.2069,0.4379,-0.2434,-0.7308,0.9113,0.4306,0.3424,-0.5689,-0.4003,-0.6488,0.9366,0.5757,1.0000,0.7795,1.0000,-0.3952,-0.2267,1.0000,0.9366,0.9717,0.6807,-0.6644,1.0000,0.3424,-0.3288,-0.3288,0.1379,0.0287,1.0000,-0.4667,0.9981,-0.0395,0.8667,1.0000,-0.5254,0.5757,0.3977,0.6780,0.3424,0.7391,-0.1619,0.3701,0.4460,0.1379,0.8449,-0.7478,0.3472,0.9645,0.5757,0.5636,-0.6644,-0.4912,-0.1962,0.9999,-0.0955,0.5757,0.4379
하마돈,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
루카리오,0.1379,-0.1977,0.1783,-0.0955,0.1379,0,0.3712,0.3712,-0.0230,0.7068,0.1379,-0.0955,0.2401,-0.0955,0.8090,0.3712,-0.0955,-0.3553,-0.6644,-0.0955,-0.6644,0.7068,0.7068,0.1379,-0.2300,0.0356,-0.1005,0.3712,0.1379,0.1934,0.2041,-0.1977,0.1379,0.3712,0.3712,-0.1977,0.4100,-0.1977,0.1379,0.3712,1.0000,0.3712,0.9769,0.1379,0.7068,0.6713,-0.1977,0.3712,0.7869,0.0356,0.1379,0.1541,0.1806,0.3712,0.3712,0.3712,0.3712,0.8090,-0.3288,0.7068,0.3724,0.3712,0.3562,0.8072,-0.1316,0.3424,0.0356,0.3712,0.3712,0.3712,0.3810,0.7068,0.0356,1.0000,0.3608,1.0000,0.2401,0.1022,0.4735,0.7677,0.3712,0.2401,0.5732,0.3712,0.1379,0.1379,0.3712,0.7068,0.0697,0.4735,0.3712,0.4735,0.3142,0.0356,0.0481,0.4231,0.3712,0.7068,-0.0955,0.1379
드닐레이브,-0.2589,-0.0955,0.1097,0.1669,0.8466,-0.3288,0,0.1379,0.1379,0.0068,0.1379,-0.1977,0.2401,0.9113,0.3989,0.3712,0.1379,0.0826,-0.3288,0.3424,-0.3288,-0.0955,0.2401,1.0000,0.4090,-0.3288,0.5684,-0.0955,0.1379,0.2557,-0.1245,0.4735,0.8090,0.1379,-0.0955,0.0068,0.1767,0.1379,0.8090,0.2401,0.9795,0.8090,0.9932,0.0100,0.1379,0.2292,0.1379,0.1379,0.9937,0.4735,0.1379,0.8254,0.0068,0.4735,0.1379,0.0068,-0.3288,0.4735,-0.0955,0.4735,0.8805,0.7068,0.8756,0.9060,0.4735,1.0000,-0.3288,-0.0955,0.1379,0.8558,0.2938,0.0068,-0.1977,0.9113,0.8770,0.9498,-0.0955,-0.3288,0.8090,0.9941,0.1379,0.6780,1.0000,0.1379,1.0000,0.1379,0.1379,0.3424,0.2400,0.0394,0.6746,0.8090,0.3424,0.0068,-0.0955,0.0587,-0.3193,0.8090,-0.0955,0.3712
브리두라스,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
타부자고,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
따라큐,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고릴타,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
킬가르도,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마스카나,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갸라도스,0.0767,0.0068,0.1379,-0.3288,0.6325,-0.3288,-0.2267,-0.3288,-0.0974,-0.3212,-0.5621,0.1379,-0.3288,0,0.5157,0.2401,0.4735,0.0826,-0.3288,0.2401,-0.3288,-0.2267,0.2401,-0.3288,-0.0342,-0.3288,0.9018,-0.2267,0.1379,0.5290,-0.1908,-0.3288,0.8090,0.4735,-0.0955,0.0068,0.9216,0.1379,0.7068,-0.0955,0.8516,0.8090,0.9932,-0.0381,-0.0955,-0.0062,0.1379,0.1379,0.2332,0.4735,-0.3288,0.5777,-0.4806,0.0068,0.1379,-0.2267,-0.4319,0.9932,0.0068,0.1379,-0.0257,0.4735,0.4568,0.9094,-0.0293,1.0000,0.0068,-0.0955,0.4735,0.4497,0.1014,0.0068,-0.4311,0.2400,0.8770,0.9971,0.0068,-0.5621,0.3712,1.0000,-0.3288,1.0000,0.2400,0.1379,1.0000,0.1300,-0.0955,0.5757,0.1482,0.4735,0.1055,0.3712,-0.3858,0.3424,-0.0830,-0.2267,0.0043,0.5757,-0.0955,0.4735
아머까오,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
킬라플로르,0.1072,-0.8977,0.3431,0.3712,-0.2834,-0.1977,-0.1977,0.1379,-0.1272,0.8166,0.0356,-0.1977,0.2401,-0.1977,0.2400,0,-0.1977,0.8321,0.0068,-0.3288,-0.0955,0.2401,0.1379,0.1379,0.5723,0.0068,0.1492,0.0356,-0.1977,-0.1422,0.7869,0.7068,0.1379,0.1379,0.0068,-0.0955,0.1108,-0.1977,0.0356,0.0068,0.9231,0.4735,0.5732,0.1965,0.7068,1.0000,0.3712,0.4735,0.2332,-0.1977,0.7068,0.3712,0.8926,0.1379,-0.1977,0.3424,0.4164,0.7068,0.0068,0.1379,0.2081,0.3712,-0.0139,0.2381,0.7068,-0.3288,-0.1977,0.0068,-0.0955,-0.0955,0.2118,-0.3288,0.1379,0.9113,0.2057,0.8919,0.5757,0.2400,0.7068,0.1986,0.7068,-0.3288,0.4735,0.3712,0.1379,-0.1864,0.3712,0.2401,0.8090,0.7068,0.0969,0.7068,-0.0955,-0.0955,0.3750,0.1379,-0.1077,0.1379,-0.3288,0.1379
대쓰여너,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리자몽,-0.2477,-0.3057,0.1406,0.5492,0.3173,0.8522,0.1609,0.2136,0.2462,0.8283,0.9313,0.3943,-0.0197,0.0852,0.8321,-0.4080,-0.1977,0,-0.5886,-0.1482,-0.5396,0.5988,0.8321,0.1379,0.9716,-0.5886,0.5882,0.1609,0.3943,0.4097,0.8826,-0.0729,0.1379,0.7299,0.0826,-0.0767,0.0669,-0.1219,0.1114,-0.3288,0.8910,0.2136,-0.0336,0.7887,0.5492,0.9731,0.3095,-0.1219,0.2480,0.0587,-0.0729,0.1830,0.2110,0.2136,-0.1977,-0.2530,0.8685,0.7299,-0.0459,0.7299,0.5969,0.8522,0.8967,0.2536,0.9313,-0.2530,0.1114,0.3390,0.3152,-0.4291,0.7542,0.4909,0.5492,0.8321,0.7366,0.8304,1.0000,0.1609,0.2136,0.2426,-0.1219,-0.0724,0.1609,0.4960,0.2136,0.5474,0.5463,0.3159,0.2311,0.2136,0.8004,0.2136,-0.0955,0.1129,-0.4925,0.1609,0.4606,0.8311,0.0826,0.1609
포푸니크,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
