atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
보만다,0,-0.3594,,0.8984,,0.1379,-0.1977,,,,,,,0.2094,,0.1072,,0.7321,,-0.6644,,,,,,,,,-0.0256,-0.1114,,,-0.1261,,-0.3288,-0.0937,,0.6063,-0.0256,-0.0937,,0.7085,,0.9340,,-0.0256,,-0.3288,,,,,0.8620,,-0.2589,-0.1960,0.0095,,,0.3730,0.3232,,0.8854,,0.9252,-0.1960,0.4598,,,,0.5008,,,0.7784,,0.9793,,,,,,,,0.0374,,0.2652,,-0.4311,,,,,0.7784,0.0767,,0.2094,,,,-0.1279
한카리아스,0.1072,0,,0.6404,,0.1379,0.0356,,,,,,,0.2400,,0.3712,,0.2136,,0.1379,,,,,,,,,0.4735,-0.1433,,,0.1379,,0.4735,0.1379,,0.1379,0.4735,0.1379,,0.1379,,0.7656,,-0.3041,,-0.0955,,,,,0.2213,,-0.0955,0.1379,-0.6192,,,0.1379,-0.0252,,0.5384,,0.8090,0.1379,0.4735,,,,0.2118,,,0.4735,,0.8514,,,,,,,,-0.4311,,0.1379,,0.1379,,,,,0.3142,0.4735,,0.1018,,,,0.0356
누리레느,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑주무사,-0.8174,-0.8022,,0,,-0.3288,0.4379,,,,,,,0.4379,,0.0068,,-0.8977,,0.2401,,,,,,,,,0.5310,-0.8313,,,-0.5621,,0.0068,-0.6644,,-0.6644,-0.2267,-0.2333,,0.0068,,-0.1590,,-0.3882,,0.4379,,,,,-0.7197,,0.2692,0.0068,0.5312,,,-0.0597,0.8295,,0.6579,,-0.7120,0.9366,0.1023,,,,-0.1833,,,0.9932,,0.9479,,,,,,,,-0.1619,,0.2696,,0.2692,,,,,0.0562,-0.6644,,-0.3140,,,,0.0352
하마돈,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
루카리오,-0.3288,-0.3288,,0.1379,,0,0.3712,,,,,,,0.3712,,0.3712,,-0.4838,,-0.0955,,,,,,,,,0.1379,-0.0977,,,0.1379,,-0.6644,-0.8977,,-0.1977,-0.1977,-0.4311,,0.3712,,0.1379,,0.6713,,-0.0955,,,,,0.0764,,0.3712,-0.4311,0.2681,,,0.7068,0.3712,,0.3562,,-0.1977,0.0068,0.0356,,,,0.3810,,,1.0000,,1.0000,,,,,,,,0.3712,,-0.1864,,0.2401,,,,,0.1379,-0.4311,,0.3712,,,,0.1379
드닐레이브,-0.0955,-0.4311,,-0.3952,,-0.6644,0,,,,,,,0.8090,,-0.0955,,-0.2530,,0.0068,,,,,,,,,-0.3288,-0.3767,,,0.4735,,-0.3288,-0.3288,,-0.3288,0.4735,-0.0955,,0.4735,,-0.2247,,0.1379,,-0.3288,,,,,-0.3288,,-0.0955,-0.3288,-0.6192,,,0.1379,0.3724,,0.8725,,0.4735,0.6780,-0.3288,,,,-0.3191,,,0.8090,,0.9469,,,,,,,,-0.3288,,-0.3288,,0.0068,,,,,0.3507,0.0068,,-0.0293,,,,0.0356
브리두라스,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
타부자고,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
따라큐,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
