atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
보만다,0,-0.3288,-0.5192,0.9762,0.1240,0.3730,0.0374,-0.1960,-0.1090,-0.0256,1.0000,-0.0256,-0.4293,-0.0256,0.8956,0.1379,-0.2573,0.1220,0.5775,-0.5928,0.3102,-0.8279,0.2419,0.5434,0.6561,-0.0937,0.2972,-0.3594,-0.0256,0.1765,-0.7567,0.0492,-0.0256,0.7250,-0.0937,0.2419,-0.0256,0.3730,-0.0256,0.2419,0.8234,0.8807,0.9059,0.9757,-0.0256,-0.2666,0.5434,0.1379,0.8171,-0.1261,0.6232,0.0007,0.3645,-0.0256,-0.0256,-0.4923,-0.8126,-0.3612,-0.3594,0.4735,0.7198,0.3730,0.5682,-0.0614,0.9600,-0.4923,0.2266,-0.0937,-0.1261,-0.0420,0.9093,0.0767,0.9381,0.8773,-0.0256,0.9829,-0.0937,-0.0256,0.7085,-0.0571,0.5434,-0.4293,0.0896,-0.0955,-0.0256,0.0374,-0.1422,-0.6644,0.8940,-0.0313,0.4079,0.7085,0.4489,0.0767,0.1466,0.2209,0.9687,0.7085,-0.0937,-0.1279
한카리아스,-0.3288,0,-0.0955,0.4070,-0.1454,0.1379,-0.1977,-0.1977,0.1358,0.1379,0.1379,0.1379,-0.6644,-0.0955,0.3027,0.4735,-0.3288,0.0826,0.2401,-0.6644,0.2401,-0.6644,0.0068,0.4735,0.5332,-0.3288,0.5684,-0.4311,-0.1977,0.1368,-0.3579,0.6780,0.1379,0.4735,-0.3288,0.0068,0.1379,0.3712,-0.0955,0.2401,0.8936,0.4735,1.0000,0.6663,0.1379,-0.0062,0.4735,0.1379,1.0000,-0.1977,0.4735,0.1007,0.0883,0.1379,0.1379,-0.3288,-0.6192,-0.1977,-0.4311,0.1379,0.5432,0.4735,0.7552,-0.0955,0.4735,-0.3288,0.2401,-0.3288,0.1379,-0.0955,0.4429,0.0068,0.1379,0.9113,0.1379,0.8919,-0.3288,-0.0955,0.4735,-0.0955,0.8090,-0.3288,-0.0955,0.1379,0.1379,-0.1977,0.0212,-0.6644,0.5732,0.0394,0.3335,0.4735,0.5188,0.0068,0.1503,0.1018,0.5732,0.4735,0.0068,0.0356
누리레느,0.3033,-0.2883,0,0.4871,0.5101,-0.3165,0.0068,-0.5621,-0.4000,-0.3722,-0.6644,-0.5903,-0.1236,-0.5903,-0.4474,-0.3288,-0.2267,-0.2217,-0.5621,-0.3288,-0.6239,0.1468,-0.2267,-0.5621,0.0669,-0.6239,0.7415,0.9220,-0.5621,0.0795,-0.6744,-0.3288,0.1357,-0.0550,-0.3569,0.3188,-0.3678,-0.1236,-0.5220,-0.3569,0.9942,-0.3288,0.2415,-0.3007,0.2401,0.2044,0.0068,0.2599,-0.1552,-0.2883,-0.2883,0.0859,-0.2454,0.9855,-0.2883,-0.5501,-0.5047,0.4785,-0.1236,0.4735,-0.2858,0.3828,-0.4543,0.5792,-0.5621,0.3139,-0.2883,0.0068,-0.3806,-0.2704,-0.2400,-0.0214,-0.1236,-0.3569,-0.3863,1.0000,-0.2883,0.3794,-0.5621,0.5472,0.0473,0.6879,0.8886,-0.2267,0.7880,-0.3288,0.2601,0.0139,0.6133,0.1827,0.1218,-0.5621,-0.6048,0.3424,-0.3163,-0.5665,-0.2246,0.1468,-0.2267,0.1097
갑주무사,-0.7205,-0.2267,-0.6704,0,0.1806,0.3424,0.0068,-0.5621,-0.6975,0.3424,-0.2333,-0.2811,0.2401,-0.7000,-0.7955,-0.3288,-0.5621,-0.5295,0.1023,0.1023,-0.0597,0.3357,0.3357,-0.5621,-0.2263,-0.3288,-0.6550,-0.3288,-0.2267,-0.7468,-0.5327,-0.5621,-0.1058,0.2692,0.0068,-0.2333,0.7150,-0.3288,0.5543,-0.3288,0.9599,0.1023,0.8219,-0.7012,0.2753,-0.0661,-0.4667,0.2401,-0.7467,0.0068,-0.0273,-0.7955,-0.7731,0.4379,-0.1619,0.1023,-0.2837,0.4379,-0.3952,0.0173,0.2414,0.6712,-0.1066,0.7092,-0.2474,0.7696,0.0068,0.0068,-0.2333,0.8694,-0.7263,0.3424,-0.5621,0.1066,0.3599,0.7424,0.3424,-0.6152,-0.3288,0.8581,-0.2267,0.0068,0.7565,-0.2333,0.5310,0.3424,0.3235,0.0068,-0.2861,-0.5250,0.5307,-0.3288,-0.5139,-0.2333,-0.3288,0.0068,0.8350,0.3357,0.0068,-0.3288
하마돈,-0.3437,0.0434,-0.6656,-0.2727,0,-0.2056,-0.6120,-0.4390,-0.3465,-0.2756,-0.8602,-0.2913,-0.5255,-0.7604,-0.7000,-0.2056,-0.6478,-0.2715,0.2777,-0.4145,0.1300,-0.5621,-0.0789,-0.7955,-0.0266,0.1300,-0.2079,-0.6120,0.1300,-0.3155,-0.7284,-0.7597,-0.8602,-0.0364,0.1300,-0.2056,-0.3245,-0.0579,-0.7955,0.6133,0.0856,0.1658,0.6899,-0.3763,0.1168,-0.1244,-0.2056,-0.0192,0.9584,-0.5255,0.1300,-0.7899,-0.4473,-0.2255,0.0434,-0.2418,-0.2526,-0.8602,-0.2913,0.3653,-0.7265,0.7962,-0.4867,-0.5500,-0.7080,-0.1043,0.2532,0.0434,-0.2913,0.1916,-0.7000,-0.1043,-0.5255,-0.3132,0.5601,0.8640,-0.5255,-0.3549,0.1300,-0.7465,0.2232,-0.4145,-0.3177,0.0434,-0.5255,-0.2913,0.2082,-0.4145,-0.1711,-0.5965,-0.1992,0.1300,0.2602,-0.2056,0.1469,-0.2190,-0.7000,0.1658,-0.2913,0.2855
루카리오,-0.4923,-0.6644,-0.0550,-0.4975,-0.3078,0,0.1379,0.1379,-0.2564,-0.0955,-0.1977,-0.3288,0.2401,-0.3288,0.2400,0.1379,-0.5621,-0.8746,-0.6644,-0.3288,-0.6644,0.2401,0.0068,-0.0955,-0.8365,-0.6644,-0.3338,-0.3288,-0.1977,-0.0966,0.1379,-0.6644,-0.0955,0.3712,-0.3288,-0.8977,0.1767,-0.1977,-0.4311,-0.3288,1.0000,0.1379,0.1987,0.0038,0.7068,0.4626,-0.4311,0.3712,0.5111,-0.1977,-0.4311,-0.0480,-0.3288,0.3712,0.3712,-0.3288,-0.3288,0.7068,-0.3288,0.4735,0.2092,-0.0955,-0.0139,0.5286,-0.1977,0.0068,-0.4311,-0.3288,0.1379,0.1379,0.2118,0.0068,-0.1977,1.0000,0.1025,1.0000,0.0068,-0.6644,0.2400,0.4944,0.1379,0.0068,0.2467,0.1379,0.1379,-0.1977,0.1379,0.0068,-0.1977,-0.0955,0.1379,0.2400,-0.3288,-0.6644,-0.4186,-0.0955,0.3590,0.4735,-0.3288,0.1379
드닐레이브,-0.2589,-0.0955,-0.0955,0.0714,0.6325,-0.6644,0,-0.4311,-0.2564,-0.3288,0.1379,-0.1977,-0.0955,0.4735,0.0881,0.1379,-0.3288,0.0293,-0.3288,0.3424,-0.3288,-0.0955,0.0068,1.0000,0.0666,-0.3288,0.3911,-0.4311,0.1379,0.2557,-0.1245,0.0068,0.4735,0.1379,-0.3288,0.0068,0.1497,-0.1977,0.2400,-0.3288,0.9238,0.4735,0.9932,-0.3637,0.1379,0.2292,0.1379,0.1379,0.9937,0.1379,0.1379,0.5270,-0.2454,0.4735,-0.0955,0.0068,-0.6192,0.4735,-0.4311,0.1379,0.8805,-0.0955,0.7733,0.5727,0.4735,0.6780,-0.3288,-0.3288,0.1379,0.5732,0.0629,0.0068,-0.1977,0.8090,0.7095,0.8919,-0.3288,-0.5621,0.4735,0.9831,0.1379,0.6780,0.9361,0.1379,1.0000,0.1379,0.1379,0.3424,-0.1192,0.0394,0.4735,0.4735,0.0068,0.0068,-0.6519,-0.3130,-0.7955,0.4735,-0.3288,0.0356
브리두라스,-0.0238,-0.0955,0.4453,0.1379,-0.0588,-0.6644,0.0068,0,-0.2564,0.0317,-0.0955,-0.0955,0.0068,0.7068,0.8090,-0.3288,0.6780,-0.2530,-0.3288,0.0068,-0.3288,0.2401,0.6780,0.3424,-0.3679,-0.3288,-0.0005,-0.0955,0.1379,0.3078,-0.0955,-0.3288,0.4735,0.4735,-0.3288,-0.3288,0.8209,-0.1977,-0.0955,-0.3288,0.8936,0.4735,0.9932,-0.0381,0.8090,0.5627,0.1379,0.1379,0.5773,0.1379,-0.0955,0.8395,-0.0547,0.2401,0.1379,-0.2267,-0.4319,0.1379,-0.0955,0.8090,0.3102,0.0068,0.2043,0.9922,0.1379,0.3424,-0.3288,-0.3288,-0.0955,0.0043,0.7166,0.6780,-0.1977,1.0000,0.7438,0.9498,0.0068,-0.5621,0.9113,0.9705,-0.0955,0.3424,0.9979,0.4735,0.1379,0.1379,0.4735,0.0068,-0.0614,0.8090,-0.0020,0.9113,0.0068,-0.3288,-0.3250,-0.0293,0.4612,0.9113,-0.3288,0.3712
타부자고,-0.0852,-0.4897,0.4481,0.2083,-0.2032,0.2382,-0.0974,0.0756,0,-0.0250,-0.2584,-0.1272,-0.0974,0.3693,0.9878,-0.0974,-0.2584,-0.3534,-0.0574,-0.0974,-0.4897,0.4715,0.0756,-0.1977,-0.2866,-0.1542,-0.2501,-0.2584,0.1379,0.2118,0.8276,-0.4897,0.2083,0.2103,-0.3288,-0.4330,0.5725,-0.1272,-0.6506,-0.0626,0.2447,0.1379,0.9149,0.3460,0.2103,0.8581,0.0337,0.4417,0.5053,0.1379,-0.3288,0.8034,0.2887,-0.0974,0.4417,0.9953,0.6534,0.9407,-0.3288,0.8796,0.7133,0.3106,0.3691,0.8771,-0.0526,0.7958,-0.3288,-0.0974,0.2945,0.2686,0.8513,0.2382,0.5423,0.8763,0.5923,0.4444,1.0000,0.0756,0.4555,0.7730,0.2382,0.2382,0.8652,0.7049,0.5423,0.1402,0.7049,-0.0974,-0.0304,0.6772,0.4084,0.7869,-0.0376,-0.4330,-0.3262,0.0174,0.7049,0.0756,0.0068,0.2083
따라큐,-0.0204,-0.3461,0.4301,-0.3337,-0.0510,-0.4311,0.1206,-0.5794,-0.2116,0,-0.1128,-0.4484,-0.3288,-0.5794,-0.7955,0.2016,-0.3288,-0.6991,-0.5373,0.0068,-0.7955,-0.2267,-0.2267,0.4706,-0.3638,-0.3288,-0.0379,-0.0706,-0.4311,0.4093,-0.4699,-0.7736,0.1454,0.1379,-0.3288,-0.3288,-0.0784,-0.0955,0.1379,-0.2267,0.5695,-0.1977,0.1566,-0.6044,0.1627,0.2273,-0.0706,0.4735,0.1686,0.1206,-0.1977,0.2406,-0.5861,0.4735,0.1206,-0.0127,-0.4309,-0.0706,-0.6644,-0.5794,0.2392,0.0068,-0.1114,0.9005,0.0235,0.0317,-0.5621,-0.5621,-0.3461,0.2376,-0.6419,0.0068,0.4735,0.2058,0.4321,0.6224,-0.2020,0.3932,0.2016,0.5745,0.2371,-0.3039,0.2358,0.4735,0.4983,0.1379,0.3567,-0.3288,-0.7918,0.1743,0.4232,0.2016,-0.7840,-0.5373,-0.1200,0.5674,-0.5539,0.2647,-0.3039,-0.0955
