atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
보만다,0,-0.3594,,0.8984,,-0.3288,0.0374,,,,,,,-0.0256,,-0.3594,,0.3212,,-0.8279,,,,,,,,,-0.2573,-0.3447,,,-0.3594,,-0.3288,-0.2573,,0.0766,-0.0256,-0.0937,,0.5434,,0.9757,,-0.3723,,-0.3288,,,,,0.2829,,-0.2589,-0.5928,-0.8661,,,0.2094,-0.0256,,0.4018,,0.9208,-0.5928,-0.0068,,,,0.1444,,,0.4734,,0.9482,,,,,,,,-0.4293,,-0.5928,,-0.8279,,,,,0.3877,0.0767,,-0.2589,,,,-0.1279
한카리아스,-0.4293,0,,0.4735,,-0.0955,-0.1977,,,,,,,-0.0955,,0.7068,,0.1609,,-0.6644,,,,,,,,,-0.3288,-0.1433,,,-0.4311,,-0.0955,-0.3288,,0.1379,-0.0955,-0.0955,,0.1379,,0.6663,,-0.5374,,-0.3288,,,,,-0.1840,,0.1379,-0.6644,-0.5161,,,0.1379,-0.2586,,0.5914,,0.1379,-0.6644,0.0068,,,,-0.3975,,,0.5732,,0.8890,,,,,,,,-0.1977,,-0.6644,,-0.6644,,,,,0.3511,0.0068,,-0.0955,,,,0.0356
누리레느,-0.2390,0.0473,0,0.1526,,-0.3569,-0.2883,,,,,,,-0.3288,,-0.6239,,-0.3260,,-0.3288,,,,,,,,,-0.5501,-0.2339,,,-0.2295,,-0.5621,0.0068,,-0.3288,-0.5903,-0.6521,,-0.3569,,-0.3007,,-0.1462,,0.2401,,,,,-0.0547,,-0.3288,-0.3288,-0.7197,,,0.2400,-0.6706,,-0.7880,,-0.6458,-0.1865,-0.3288,,,,-0.4898,,,-0.5621,,1.0000,,,,,,,,-0.5501,,-0.3288,,-0.5217,,,,,-0.8977,0.0473,,-0.6220,,,,-0.3906
갑주무사,-0.8174,-0.5621,,0,,0.0068,-0.2997,,,,,,,0.3424,,-0.6644,,-0.6148,,0.1737,,,,,,,,,-0.2811,-0.7816,,,-0.2193,,-0.2333,-0.3952,,-0.2997,0.3694,-0.6644,,-0.0597,,-0.7213,,-0.1248,,-0.2333,,,,,-0.7955,,-0.3288,-0.2333,-0.4508,,,-0.0776,-0.4612,,-0.2216,,-0.5148,0.6780,0.0068,,,,-0.7495,,,-0.2267,,0.7732,,,,,,,,-0.3288,,0.1098,,-0.3288,,,,,-0.6995,-0.3288,,-0.0035,,,,-0.5621
하마돈,-0.2299,-0.6120,,-0.1172,0,-0.3288,-0.7955,,,,,,,-0.6120,,0.0278,,-0.4396,,-0.7745,,,,,,,,,0.0434,-0.3674,,,-0.8977,,0.2777,-0.6120,,-0.2056,-0.6478,0.2777,,0.0434,,-0.4489,,-0.4598,,-0.0192,,,,,-0.4200,,0.0434,-0.5255,-0.6973,,,0.4656,-0.8150,,-0.6684,,-0.8602,-0.5255,-0.0004,,,,-0.7000,,,-0.5255,,0.8802,,,,,,,,-0.2913,,-0.5255,,-0.6269,,,,,-0.3399,-0.2056,,-0.3260,,,,0.1379
루카리오,-0.4923,-0.3288,,-0.3355,,0,0.1379,,,,,,,0.1379,,-0.0955,,-0.8977,,-0.0955,,,,,,,,,-0.5621,-0.7383,,,-0.0955,,-0.6644,-0.8977,,-0.6644,-0.4311,-0.6644,,0.1379,,-0.1390,,0.4379,,-0.6644,,,,,-0.8550,,0.0356,-0.4311,-0.3288,,,0.4735,0.2081,,0.1227,,-0.1977,-0.2267,-0.4311,,,,-0.4979,,,0.9932,,0.9469,,,,,,,,-0.3288,,-0.6723,,0.2401,,,,,0.1379,-0.4311,,-0.3288,,,,-0.0955
드닐레이브,-0.3594,-0.4311,,-0.6286,,-0.6644,0,,,,,,,0.2400,,-0.0955,,-0.3057,,0.0068,,,,,,,,,-0.5621,-0.4956,,,0.4735,,-0.3288,-0.3288,,-0.6644,0.2400,-0.3288,,0.1379,,-0.3120,,0.1379,,-0.3288,,,,,-0.3288,,-0.0955,-0.6644,-0.6192,,,0.1379,0.3724,,0.4568,,0.3783,0.3424,-0.3288,,,,-0.4291,,,0.8090,,0.8890,,,,,,,,-0.6644,,-0.3288,,0.0068,,,,,0.2400,-0.3288,,-0.5103,,,,0.0356
브리두라스,-0.0238,-0.0955,,-0.3288,,-0.6644,-0.3288,0,,,,,,0.1379,,-0.3288,,-0.3815,,-0.3288,,,,,,,,,-0.2267,-0.4455,,,0.1379,,-0.6644,-0.5621,,-0.6644,-0.0955,-0.3288,,0.4735,,-0.0381,,0.2292,,-0.3288,,,,,-0.3288,,0.1379,-0.3288,-0.4319,,,0.3891,0.2092,,0.1227,,0.1379,0.3424,-0.3288,,,,0.2500,,,0.9932,,0.8890,,,,,,,,-0.3288,,-0.3367,,-0.3288,,,,,0.4735,-0.3288,,-0.2267,,,,0.1379
타부자고,-0.0852,-0.2584,,-0.0198,,-0.0974,-0.3288,,0,,,,,-0.0230,,-0.0250,,-0.4458,,-0.3288,,,,,,,,,-0.2584,-0.3957,,,0.1358,,-0.3288,-0.5939,,-0.8272,-0.4897,-0.3433,,0.0337,,0.3374,,0.5239,,-0.0974,,,,,-0.0564,,0.4417,0.9000,0.3723,,,0.4153,0.4902,,0.2144,,-0.1791,0.5738,-0.4330,,,,0.0697,,,0.6835,,0.3156,,,,,,,,-0.0974,,-0.2584,,-0.2564,,,,,0.2083,-0.4330,,-0.2423,,,,0.2275
따라큐,-0.5743,0.0068,,-0.8632,,-0.8977,-0.0955,,,0,,,,0.1454,,-0.7955,,-0.7912,,-0.3039,,,,,,,,,-0.8902,-0.0671,,,-0.0955,,-0.3288,-0.3288,,-0.5794,0.1379,-0.5621,,-0.1977,,-0.6845,,0.2497,,0.0068,,,,,-0.4991,,-0.0955,0.0068,-0.6653,,,-0.5621,-0.1248,,-0.0514,,-0.3412,0.0068,-0.8902,,,,-0.7955,,,-0.0369,,0.5168,,,,,,,,-0.3288,,-0.3288,,-0.3288,,,,,-0.6930,-0.5794,,-0.2439,,,,-0.3288
